method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
MaxLoss,mnist,1,0.3,0.4,3000,2000,800,752,1552,0.550224982725922,0.42369999999999997,0.4237,,,,,46.07447576150298,0,797,0.44625,0.0,0.5751250386238098,0.5751250386238098,0.9932843446731567,0.00741988505342875,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16010296093731075,1.4199485195313446
Marginal,mnist,1,0.3,0.4,3000,2000,800,803,1603,0.5671978699974716,0.23470000000000002,0.2347,,,,,47.44150610174984,0,797,0.31,0.0,0.5619781613349915,0.5619781613349915,0.9987378120422363,0.006602872329275167,0.9974968710888611,0.9974968710888611,0.9974968710888611,0.0,0.0,0.1591088176715747,1.4204455911642127
PU-R,mnist,1,0.3,0.4,3000,2000,800,848,1648,0.582141587510705,0.31379999999999997,0.3138,,,,,96.10683446750045,0,797,0.35625,0.0,0.5593025088310242,0.5593025088310242,0.9956274032592773,0.007190749521550252,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16118360804093582,1.4194081959795322
GREATS,mnist,1,0.3,0.4,3000,2000,800,716,1516,,0.4022,0.4022,,,,,54.256001407280564,0,797,0.45625,0.0,0.580723762512207,0.580723762512207,0.9921286106109619,0.007805467883966518,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16057433007203026,1.419712834963985
MaxLoss,mnist,1,0.3,0.5,2500,2500,800,503,1303,0.5569773475290276,0.43610000000000004,0.4361,,,,,46.03966483473778,0,797,0.44,0.0,0.5695451498031616,0.5695451498031616,0.9933186769485474,0.007834047353004707,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16185693072730964,1.4190715346363452
Marginal,mnist,1,0.3,0.5,2500,2500,800,543,1343,0.5729378427495249,0.19620000000000004,0.1962,,,,,47.003497266210616,0,797,0.30375,0.0,0.5697069764137268,0.5697069764137268,0.9978929758071899,0.006920921939130271,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16020378495208892,1.4198981075239554
PU-R,mnist,1,0.3,0.5,2500,2500,800,492,1292,0.5525816521258093,0.21719999999999995,0.2172,,,,,93.43740967847407,0,797,0.3225,0.0,0.5621455311775208,0.5621455311775208,0.9973936080932617,0.00702200336259404,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16044573078162114,1.4197771346091894
GREATS,mnist,1,0.3,0.5,2500,2500,800,421,1221,,0.3436,0.3436,,,,,52.6553129311651,0,797,0.42875,0.0,0.5743527412414551,0.5743527412414551,0.993519127368927,0.007414678489330116,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.15977366024128128,1.4201131698793594
MaxLoss,mnist,1,0.3,0.6,2000,3000,800,229,1029,0.5541626635240391,0.3621,0.3621,,,,,45.78051743283868,0,797,0.4325,0.0,0.5669097900390625,0.5669097900390625,0.9936612844467163,0.0068682970081949055,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.15634372343536454,1.4218281382823177
Marginal,mnist,1,0.3,0.6,2000,3000,800,409,1209,0.6434314571670257,0.25649999999999995,0.2565,,,,,46.547092486172915,0,797,0.31375,0.0,0.5764461159706116,0.5764461159706116,0.9971902966499329,0.006659697051520211,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.15995548209946203,1.4200222589502691
PU-R,mnist,1,0.3,0.6,2000,3000,800,361,1161,0.6197590373922139,0.22699999999999998,0.227,,,,,92.68318612221628,0,797,0.3325,0.0,0.5800389647483826,0.5800389647483826,0.9944426417350769,0.007705806884932121,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16110997204756733,1.4194450139762163
GREATS,mnist,1,0.3,0.6,2000,3000,800,208,1008,,0.3448,0.3448,,,,,51.27071746066213,0,797,0.4175,0.0,0.5803901553153992,0.5803901553153992,0.9907721281051636,0.007346228234824236,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.15920131595322973,1.4203993420233851
MaxLoss,mnist,1,0.3,0.7,1500,3500,800,0,800,0.5785540086217225,0.28969999999999996,0.2897,,,,,45.399296876974404,1,797,0.4,0.0,0.5625471472740173,0.5625471472740173,0.9934810400009155,0.006290957695327802,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.15319650313635547,1.4234017484318222
Marginal,mnist,1,0.3,0.7,1500,3500,800,203,1003,0.7114344908623025,0.24060000000000004,0.2406,,,,,46.11100025288761,0,797,0.3125,0.0,0.576957106590271,0.576957106590271,0.9971336126327515,0.006799753237800097,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.15958340157656564,1.4202082992117173
PU-R,mnist,1,0.3,0.7,1500,3500,800,161,961,0.6842492618598044,0.24039999999999995,0.2404,,,,,90.31827935017645,0,797,0.33625,0.0,0.5710819959640503,0.5710819959640503,0.9983370304107666,0.007882730687999905,0.9974968710888611,0.9974968710888611,0.9962453066332916,0.0,0.0,0.16289993217330848,1.4185500339133457
GREATS,mnist,1,0.3,0.7,1500,3500,800,55,855,,0.29359999999999997,0.2936,,,,,49.231027299538255,0,797,0.3975,0.0,0.5761033296585083,0.5761033296585083,0.994971513748169,0.00700686210346815,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.15635916009049663,1.4218204199547517
MaxLoss,mnist,1,0.3,0.8,1000,4000,549,0,549,0.6033094049198553,0.3014,0.3014,,,,,18.266211091540754,1,546,0.39526411657559196,0.0,0.5730044841766357,0.5730044841766357,0.9900815486907959,0.01074654112925182,0.9981751824817519,0.9981751824817519,0.9981751824817519,0.0,0.0,0.1618433609409914,1.4190783195295043
