method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,group_revisit_rate,unique_group_fraction,max_group_selection_fraction,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu,dynamic_redundancy_weight,variant,sweep_name,sweep_value,mu,global_redundancy_weight,residual_rank,gamma_value
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,100,100,3500,1500,104,1318,1422,0.4361771795665845,0.27349999999999997,0.2735,,,,,1.9841737620299682,0,0,101,0.8173076923076923,0.8269230769230769,0.7258754968643188,0.7258754968643188,0.9954508543014526,0.08528397210593362,0.7184466019417476,0.7961165048543689,0.7184466019417476,0.9807692307692307,0.019230769230769232,0.8269230769230769,0.6646953053493418,0.17307692307692307,0.271891809343039,1.3640540953284805,1.3640540953284805,rank=128,residual_rank,128.0,1.0,1.0,128,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,200,200,3500,1500,204,1285,1489,0.4555574652040377,0.35050000000000003,0.3505,,,,,5.545163944014348,0,1,201,0.7745098039215687,0.8333333333333334,0.7976810336112976,0.7976810336112976,0.993417501449585,0.06047910187631992,0.7241379310344828,0.8817733990147784,0.7241379310344828,0.9901960784313726,0.00980392156862745,0.8333333333333334,0.6500224216483541,0.16666666666666666,0.22745840897848155,1.3862707955107592,1.3862707955107592,rank=128,residual_rank,128.0,1.0,1.0,128,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,1,0.3,0.3,support,50,50,3500,1500,54,1359,1413,0.43357027613092214,0.34325000000000006,0.34325,,,,,0.8462414119858295,0,0,51,0.8333333333333334,0.8148148148148148,0.7266810536384583,0.7266810536384583,0.9988751411437988,0.09513633937205908,0.7924528301886793,0.7735849056603774,0.7735849056603774,0.9629629629629629,0.037037037037037035,0.8148148148148148,0.691289869405789,0.18518518518518517,0.26773751456028366,0.0,1.3661312427198582,mu=0,mu,0.0,0.0,1.0,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,1,0.3,0.3,support,100,100,3500,1500,104,1247,1351,0.4155882463674061,0.2975,0.2975,,,,,1.974399311002344,0,0,101,0.8461538461538461,0.8653846153846154,0.7497524619102478,0.7497524619102478,0.9984111785888672,0.07324769774686943,0.8349514563106796,0.8737864077669902,0.8349514563106796,0.9807692307692307,0.019230769230769232,0.8653846153846154,0.56996137604035,0.1346153846153846,0.2533101750767788,0.0,1.3733449124616106,mu=0,mu,0.0,0.0,1.0,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,1,0.3,0.3,support,200,200,3500,1500,204,1285,1489,0.4555574652040377,0.34099999999999997,0.341,,,,,5.544203722034581,0,1,201,0.7696078431372549,0.8186274509803921,0.7863838076591492,0.7863838076591492,0.9977525472640991,0.05600464784453068,0.7389162561576355,0.9261083743842364,0.7389162561576355,0.9901960784313726,0.00980392156862745,0.8186274509803921,0.6830704823075845,0.18137254901960784,0.23892622734026994,0.0,1.380536886329865,mu=0,mu,0.0,0.0,1.0,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,1,0.3,0.3,support,50,50,3500,1500,54,1353,1407,0.4318318656296469,0.34199999999999997,0.342,,,,,0.8333855599630624,0,0,51,0.7777777777777778,0.8148148148148148,0.7146710753440857,0.7146710753440857,0.9988968968391418,0.10848196103887738,0.7358490566037735,0.7169811320754716,0.7169811320754716,0.9629629629629629,0.037037037037037035,0.8148148148148148,0.691289869405789,0.18518518518518517,0.2855057167811873,0.3393117854023516,1.3572471416094063,mu=0.25,mu,0.25,0.25,1.0,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,1,0.3,0.3,support,100,100,3500,1500,104,1241,1345,0.41384586616186425,0.29900000000000004,0.299,,,,,1.9627216689987108,0,0,101,0.8173076923076923,0.8557692307692307,0.7436394095420837,0.7436394095420837,0.9984414577484131,0.08076863526140601,0.8058252427184466,0.8349514563106796,0.8058252427184466,0.9807692307692307,0.019230769230769232,0.8557692307692307,0.5952124653513117,0.14423076923076922,0.26190902564060187,0.3422613717949248,1.369045487179699,mu=0.25,mu,0.25,0.25,1.0,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,1,0.3,0.3,support,200,200,3500,1500,204,1297,1501,0.459023633855395,0.34724999999999995,0.34725,,,,,5.543500326923095,0,1,201,0.7794117647058824,0.8137254901960784,0.7839909195899963,0.7839909195899963,0.9977903962135315,0.05849580107064083,0.7241379310344828,0.896551724137931,0.7241379310344828,0.9901960784313726,0.00980392156862745,0.8137254901960784,0.6936126404300949,0.18627450980392157,0.24145455942225852,0.34481818007221765,1.3792727202888706,mu=0.25,mu,0.25,0.25,1.0,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,1,0.3,0.3,support,50,50,3500,1500,54,1354,1408,0.4321216271491721,0.3415,0.3415,,,,,0.8344520110404119,0,0,51,0.7407407407407407,0.8333333333333334,0.706006646156311,0.706006646156311,0.998938798904419,0.11663378184696413,0.6981132075471698,0.6981132075471698,0.6981132075471698,0.9629629629629629,0.037037037037037035,0.8333333333333334,0.6500224216483541,0.16666666666666666,0.29678979229953123,0.6758025519251172,1.3516051038502344,mu=0.5,mu,0.5,0.5,1.0,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,1,0.3,0.3,support,100,100,3500,1500,104,1250,1354,0.41645929095102474,0.2985,0.2985,,,,,1.9629296560306102,0,0,101,0.8076923076923077,0.875,0.7392802238464355,0.7392802238464355,0.9983781576156616,0.0852890237442498,0.7572815533980582,0.7961165048543689,0.7572815533980582,0.9807692307692307,0.019230769230769232,0.875,0.5435644431995964,0.125,0.26696839751551604,0.683257900621121,1.366515801242242,mu=0.5,mu,0.5,0.5,1.0,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,1,0.3,0.3,support,200,200,3500,1500,204,1287,1491,0.4561352633754723,0.34299999999999997,0.343,,,,,5.548286576056853,0,1,201,0.7598039215686274,0.8235294117647058,0.7829183340072632,0.7829183340072632,0.9976310729980469,0.0606583624050535,0.7044334975369458,0.8916256157635468,0.7044334975369458,0.9901960784313726,0.00980392156862745,0.8235294117647058,0.672294817075638,0.17647058823529413,0.24310027400379672,0.6892249314990508,1.3784498629981017,mu=0.5,mu,0.5,0.5,1.0,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,1,0.3,0.3,support,50,50,3500,1500,54,1346,1400,0.4298032389488071,0.34075,0.34075,,,,,0.8307399869663641,0,0,51,0.7407407407407407,0.8333333333333334,0.6963101029396057,0.6963101029396057,0.9989671111106873,0.12533747924948638,0.6415094339622641,0.6415094339622641,0.6415094339622641,0.9629629629629629,0.037037037037037035,0.8333333333333334,0.6500224216483541,0.16666666666666666,0.3100751813376704,1.3449624093311647,1.3449624093311647,mu=1,mu,1.0,1.0,1.0,0,0.6931471805599453
