method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,mnist,1,0.3,0.0,5000,0,800,1562,2362,0.4982579108327627,0.3721,0.7509972712174274,0.31163399999999997,0.4716677873142096,881.9881551876641,11.363257337128744,0,797,0.4325,0.0,0.5661097168922424
PU-R,mnist,1,0.3,0.0,5000,0,800,1516,2316,0.4890096883755177,0.2471,0.7051085727921853,0.303356,0.46288806872389376,627.8849885059154,74.8371777748689,0,797,0.3525,0.0,0.5635032057762146
PU-C,mnist,1,0.3,0.0,5000,0,800,1575,2375,0.5008699274621904,0.25960000000000005,0.7132930573187537,0.314314,0.47449876035992195,616.573134058961,27.721870714100078,0,797,0.33,0.0,0.5618629455566406
Marginal,mnist,1,0.3,0.0,5000,0,800,1558,2358,0.49745407060254365,0.2098,0.7066483735924006,0.31192800000000004,0.471978620941454,591.0060517069588,15.118196330033243,0,797,0.28625,0.0,0.5690711736679077
MaxLoss,mnist,1,0.3,0.2,4000,1000,800,1165,1965,0.5200073259766214,0.42069999999999996,0.7646041867406439,0.291485,0.4502023156956893,903.5223985756838,9.801427436061203,0,797,0.43875,0.0,0.5659615397453308
PU-R,mnist,1,0.3,0.2,4000,1000,800,1229,2029,0.5360389715642668,0.2973,0.7282058707430574,0.3071775,0.4669478711470866,598.0249712721048,70.05137354787439,0,797,0.33875,0.0,0.5606691241264343
PU-C,mnist,1,0.3,0.2,4000,1000,800,1207,2007,0.5305314566357993,0.2895,0.7280803172206939,0.30192,0.4613595321220264,622.5889078900768,23.34108097292483,0,797,0.33375,0.0,0.5556565523147583
Marginal,mnist,1,0.3,0.2,4000,1000,800,1243,2043,0.5395419171545655,0.2459,0.7407815525907712,0.31066000000000005,0.4706375389827301,649.7135959028722,12.833352216985077,0,797,0.30875,0.0,0.5605652928352356
MaxLoss,mnist,1,0.3,0.4,3000,2000,800,763,1563,0.5538890812895261,0.3842,0.7692864123510113,0.25304000000000004,0.4083012009577346,887.848478908633,8.722182488068938,0,797,0.46,0.0,0.5724290013313293
PU-R,mnist,1,0.3,0.4,3000,2000,800,749,1549,0.5492253708071075,0.252,0.7232874698564581,0.25000666666666665,0.40493876309365845,654.1603438869978,65.1416235929355,0,797,0.35875,0.0,0.556624710559845
PU-C,mnist,1,0.3,0.4,3000,2000,800,784,1584,0.5608791743288748,0.2471,0.7232397891631694,0.2612533333333334,0.4173627334388327,604.7406675254946,18.55938115110621,0,797,0.33125,0.0,0.5645627379417419
Marginal,mnist,1,0.3,0.4,3000,2000,800,793,1593,0.5638729137717746,0.23419999999999996,0.7336971594238475,0.26433333333333325,0.42074493372586413,640.4934499049823,11.060027393978089,0,797,0.335,0.0,0.5641574263572693
MaxLoss,mnist,1,0.3,0.6,2000,3000,800,200,1000,0.5396562041714787,0.3537,0.6798632809167791,0.10097500000000002,0.22560201641071126,862.5321262652288,7.143637580797076,0,797,0.4325,0.0,0.5637692809104919
PU-R,mnist,1,0.3,0.6,2000,3000,800,340,1140,0.6093714784947224,0.21819999999999995,0.7082949668530465,0.17043500000000006,0.31323096639368914,657.1100141134087,60.10316414781846,0,797,0.33375,0.0,0.5576064586639404
PU-C,mnist,1,0.3,0.6,2000,3000,800,360,1160,0.6192648137221113,0.2659,0.7114442263628387,0.18022,0.32491961218824444,630.4227259273159,13.465941348811612,0,797,0.3525,0.0,0.5609569549560547
Marginal,mnist,1,0.3,0.6,2000,3000,800,416,1216,0.646875346894376,0.23219999999999996,0.7498198709984465,0.2079999999999999,0.35742824312900046,674.790412461389,8.872085981070995,0,797,0.29375,0.0,0.5726847052574158
MaxLoss,mnist,1,0.3,0.8,1000,4000,557,0,557,0.6112158875330351,0.31379999999999997,0.6011581610820822,0.0007200000000000006,0.055282513290930424,675.2240108992528,4.10854552895762,1,554,0.40574506283662476,0.0,0.5646046996116638
PU-R,mnist,1,0.3,0.8,1000,4000,751,0,751,0.7980021901312284,0.29059999999999997,0.5904491897481544,1.000000000000001e-05,0.05169510547730155,662.8071838336236,48.502486562822014,1,748,0.34620505992010653,0.0,0.5746653079986572
