method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
GREATS,mnist,0,0.0,0.8,100,100,1000,4000,104,80,184,,0.13280000000000003,0.1328,,,,,1.1342610493302345,0,1,101,0.0,0.0,0.6221142411231995,0.6221142411231995,0.9749242663383484,0.04921572326311787,0.9902912621359223,0.9805825242718447,0.9805825242718447,0.0,0.0,0.23413606095891745,1.3829319695205413
MaxLoss,mnist,1,0.0,0.0,100,100,5000,0,104,1258,1362,0.295083318836987,0.26780000000000004,0.2678,,,,,1.1425764448940754,0,1,101,0.0,0.0,0.5822731256484985,0.5822731256484985,0.9820719957351685,0.05957625556773352,0.9611650485436893,0.941747572815534,0.912621359223301,0.0,0.0,0.25724631726812,1.37137684136594
Marginal,mnist,1,0.0,0.0,100,100,5000,0,104,985,1089,0.23871495929779485,0.19520000000000004,0.1952,,,,,1.3539021918550134,0,1,101,0.0,0.0,0.5893375873565674,0.5893375873565674,0.9955973625183105,0.032643575085670624,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.0,0.0,0.20888609586537057,1.3955569520673148
PU-R,mnist,1,0.0,0.0,100,100,5000,0,104,1057,1161,0.25362804328324273,0.2147,0.2147,,,,,1.9164133900776505,0,1,101,0.0,0.0,0.6019357442855835,0.6019357442855835,0.9833152294158936,0.05198840461490513,0.9902912621359223,0.970873786407767,0.970873786407767,0.0,0.0,0.24450950199971477,1.3777452490001427
GREATS,mnist,1,0.0,0.0,100,100,5000,0,104,1200,1304,,0.2509,0.2509,,,,,1.9806505991145968,0,1,101,0.0,0.0,0.6272146105766296,0.6272146105766296,0.9836462736129761,0.054807704846257146,0.9902912621359223,0.970873786407767,0.970873786407767,0.0,0.0,0.24266196486337002,1.378669017568315
MaxLoss,mnist,1,0.0,0.1,100,100,4500,500,104,883,987,0.24137516063638031,0.20440000000000003,0.2044,,,,,1.0876057744026184,0,1,101,0.0,0.0,0.584114670753479,0.584114670753479,0.9813917875289917,0.05683941334413672,0.9611650485436893,0.970873786407767,0.941747572815534,0.0,0.0,0.25192077478881714,1.3740396126055914
Marginal,mnist,1,0.0,0.1,100,100,4500,500,104,780,884,0.21755738137289882,0.17769999999999997,0.1777,,,,,1.2493238085880876,0,1,101,0.0,0.0,0.5972110629081726,0.5972110629081726,0.9921330213546753,0.03467876210840401,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.0,0.0,0.21132855125326017,1.39433572437337
PU-R,mnist,1,0.0,0.1,100,100,4500,500,104,865,969,0.2372201572288759,0.19469999999999998,0.1947,,,,,1.8897156119346619,0,1,101,0.0,0.0,0.5967943668365479,0.5967943668365479,0.9854286909103394,0.049393216021431305,0.9805825242718447,0.9611650485436893,0.9611650485436893,0.0,0.0,0.23638778213646836,1.381806108931766
GREATS,mnist,1,0.0,0.1,100,100,4500,500,104,829,933,,0.19640000000000002,0.1964,,,,,1.8268931861966848,0,1,101,0.0,0.0,0.6233821511268616,0.6233821511268616,0.969173789024353,0.05092271337810072,0.9902912621359223,0.9805825242718447,0.9805825242718447,0.0,0.0,0.23831047332581695,1.3808447633370915
MaxLoss,mnist,1,0.0,0.2,100,100,4000,1000,104,675,779,0.21699839126085863,0.17759999999999998,0.1776,,,,,1.0506839491426945,0,1,101,0.0,0.0,0.5786822438240051,0.5786822438240051,0.9766308069229126,0.056790599228759994,0.941747572815534,0.9611650485436893,0.912621359223301,0.0,0.0,0.25115896731164694,1.3744205163441765
