method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-F,mnist,1,0.0,0.0,100,100,1000,0,104,92,196,0.23927439335966483,0.128,0.5345198730031349,0.08752999999999997,0.20737719519121084,218.04542579600576,1.5902250660583377,0,1,101,0.0,0.0,0.6228073835372925
MaxLoss,mnist,1,0.0,0.2,50,50,800,200,54,132,186,0.28373362025013193,0.21289999999999998,0.5680516410636292,0.15021249999999997,0.28862903116515176,120.19002750603138,0.47614280390553176,0,0,51,0.0,0.0,0.5762982368469238
MaxLoss,mnist,1,0.0,0.2,100,100,800,200,104,60,164,0.25400809082202613,0.13360000000000005,0.5298766336706956,0.07392499999999999,0.18833030002864545,191.35916927624945,0.9183781300671399,0,1,101,0.0,0.0,0.5883688926696777
Marginal,mnist,1,0.0,0.2,50,50,800,200,54,165,219,0.32777879561763257,0.23170000000000002,0.6176794510038214,0.20821250000000002,0.35767333550570635,102.89099476770072,0.5245614491868764,0,0,51,0.0,0.0,0.5848151445388794
Marginal,mnist,1,0.0,0.2,100,100,800,200,104,119,223,0.3330773636116646,0.1834,0.6006183685070086,0.148625,0.28667033165175215,153.98882654322003,1.0097871259786189,0,1,101,0.0,0.0,0.588966965675354
PU-C,mnist,1,0.0,0.2,50,50,800,200,54,186,240,0.35550613701343536,0.26380000000000003,0.6370499287152103,0.23020000000000004,0.3827641757835482,98.81402073735187,0.5800912631675601,0,0,51,0.0,0.0,0.575637936592102
PU-C,mnist,1,0.0,0.2,100,100,800,200,104,76,180,0.2756573861115612,0.14359999999999995,0.5271500425852673,0.09512500000000002,0.21773805043215985,153.63401293692178,1.1163642620667815,0,1,101,0.0,0.0,0.5769813060760498
PU-F,mnist,1,0.0,0.2,50,50,800,200,54,216,270,0.39475013449555263,0.28890000000000005,0.7010353232931924,0.26452499999999995,0.42095512393835305,127.07585980956112,0.8372873871121556,0,0,51,0.0,0.0,0.6205613613128662
PU-F,mnist,1,0.0,0.2,100,100,800,200,104,65,169,0.2607916934066452,0.13370000000000004,0.5562340519801602,0.08116250000000001,0.1985463128056338,207.9940835704168,1.4910078782122582,0,1,101,0.0,0.0,0.6227840185165405
MaxLoss,mnist,1,0.0,0.4,50,50,600,400,54,100,154,0.31742961710551754,0.23370000000000002,0.6088008967627815,0.1624833333333333,0.30363185875392523,106.95981859622792,0.4694296319503337,0,0,51,0.0,0.0,0.5791729092597961
