method,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-F,2,0.0,0.0,100,100,3000,0,104,38,142,0.06087388581363484,0.024800000000000044,0.2983190409722738,0,0,101,0.0,0.04807692307692308,0.8275964260101318
PU-F,2,0.0,0.0,200,119,3000,0,123,0,123,0.053653962444514036,0.0131,0.33719029097119346,1,0,120,0.0,0.08130081300813008,0.826909065246582
PU-G,2,0.0,0.0,50,50,3000,0,54,51,105,0.04674404545221478,0.018900000000000028,0.20226925000315532,0,0,51,0.0,0.14814814814814814,0.7447529435157776
PU-G,2,0.0,0.0,100,100,3000,0,104,2,106,0.04712998168542981,0.007800000000000029,0.31478029204299673,0,0,101,0.0,0.11538461538461539,0.7418448328971863
PU-G,2,0.0,0.0,200,104,3000,0,108,0,108,0.04790108359884471,0.00770000000000004,0.3263655840419233,1,0,105,0.0,0.1111111111111111,0.7427894473075867
MaxLoss,2,0.1,0.0,50,50,3000,0,54,560,614,0.23067405057372525,0.1501,0.06976329203462228,0,0,51,0.3148148148148148,0.3148148148148148,0.6887744665145874
MaxLoss,2,0.1,0.0,100,100,3000,0,104,406,510,0.19414256286108866,0.11140000000000005,0.1395228340406902,0,0,101,0.2403846153846154,0.27884615384615385,0.7076529264450073
MaxLoss,2,0.1,0.0,200,200,3000,0,204,35,239,0.09693794953636825,0.020000000000000018,0.3010229170322418,0,1,201,0.1715686274509804,0.23529411764705882,0.5081905722618103
PU-C,2,0.1,0.0,50,50,3000,0,54,497,551,0.20858279598178342,0.1351,0.22882716701133177,0,0,51,0.25925925925925924,0.25925925925925924,0.7211059331893921
PU-C,2,0.1,0.0,100,100,3000,0,104,362,466,0.17858403647551313,0.10219999999999996,0.45185204199515283,0,0,101,0.18269230769230768,0.21153846153846154,0.7243671417236328
PU-C,2,0.1,0.0,200,199,3000,0,203,0,203,0.08367816428653896,0.0047000000000000375,0.926665042003151,1,0,200,0.17733990147783252,0.2413793103448276,0.5450848937034607
PU-F,2,0.1,0.0,50,50,3000,0,54,339,393,0.15261060395278037,0.09019999999999995,0.4651478750165552,0,0,51,0.2777777777777778,0.3148148148148148,0.6841487884521484
PU-F,2,0.1,0.0,100,100,3000,0,104,282,386,0.15010823006741703,0.08420000000000005,0.9330445000086911,0,0,101,0.25,0.27884615384615385,0.6622375249862671
PU-F,2,0.1,0.0,200,200,3000,0,204,53,257,0.1035250555141829,0.019000000000000017,1.7722160420380533,0,1,201,0.19607843137254902,0.23529411764705882,0.531156063079834
PU-G,2,0.1,0.0,50,50,3000,0,54,129,183,0.07625429221661761,0.025599999999999956,0.40448437503073364,0,0,51,0.12962962962962962,0.2037037037037037,0.7316079139709473
PU-G,2,0.1,0.0,100,100,3000,0,104,246,350,0.13720225798897445,0.06040000000000001,0.8422602500068024,0,0,101,0.20192307692307693,0.27884615384615385,0.7477239966392517
PU-G,2,0.1,0.0,200,200,3000,0,204,49,253,0.1020634958986193,0.014700000000000046,1.7504918749909848,0,1,201,0.14705882352941177,0.24509803921568626,0.4601471424102783
MaxLoss,2,0.2,0.0,50,50,3000,0,54,564,618,0.23207295371685177,0.15510000000000002,0.14043866604333743,0,0,51,0.2962962962962963,0.2962962962962963,0.8554284572601318
MaxLoss,2,0.2,0.0,100,100,3000,0,104,525,629,0.23591775394743308,0.15169999999999995,0.2652693330310285,0,0,101,0.2403846153846154,0.3269230769230769,0.8197941184043884
MaxLoss,2,0.2,0.0,200,200,3000,0,204,115,319,0.12603523599682376,0.036900000000000044,0.42739612504374236,0,1,201,0.27450980392156865,0.4019607843137255,0.5597571730613708
