method,noise_rate,pretrain_fraction,es_budget,n,step_mean,step_se,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se
MaxLoss,0.3,0.0,50,10,50.0,0.0,54.0,0.0,554.3,32.778058379213235,608.3,32.778058379213235,0.2285407210176345,0.0115108188000721,0.13649,0.009949801226378565,0.15659285430447198,0.004422913726671506,0.0,0.0,0.0,0.0,51.0,0.0,0.3203703703703703,0.021745574017047575,0.3518518518518518,0.025150060231436247,0.7525950074195862,0.017624326321394563
MaxLoss,0.4,0.0,100,10,100.0,0.0,104.0,0.0,443.7,20.81508534159247,547.7,20.81508534159247,0.20736242880811914,0.0073262012087413845,0.11943000000000001,0.006597323531385876,0.26375614561256955,0.002264826662477019,0.0,0.0,0.0,0.0,101.0,0.0,0.3355769230769231,0.018437150023422635,0.40865384615384615,0.02382382812070273,0.7491392135620117,0.02168541185201111
MaxLoss,0.4,0.0,200,10,200.0,0.0,204.0,0.0,213.5,21.99709576790132,417.5,21.99709576790132,0.1612634674354922,0.007822539449785611,0.053770000000000005,0.008871039648454086,0.4250843042042106,0.0023227780789656692,0.0,0.0,1.0,0.0,201.0,0.0,0.30049019607843136,0.010691070459448095,0.3897058823529412,0.01450939909934009,0.4835271924734116,0.01662311584532613
MaxLoss,0.4,0.0,50,10,50.0,0.0,54.0,0.0,502.0,24.0762677063258,556.0,24.0762677063258,0.21025883976253681,0.008483571570928276,0.13369999999999999,0.008977527499261695,0.1494841291103512,0.005026230487975948,0.0,0.0,0.0,0.0,51.0,0.0,0.36296296296296293,0.02831443195353016,0.37962962962962965,0.028854310845728995,0.7319355964660644,0.02831362880415166
PU-C,0.0,0.0,100,10,99.8,0.19999999999999998,103.8,0.19999999999999998,26.5,13.995435763927546,130.3,14.038874598770374,0.05629757642163895,0.005257839774900834,0.022619999999999994,0.0033467662667781943,0.20348764170194045,0.015103111736651556,0.2,0.13333333333333333,0.0,0.0,100.8,0.19999999999999998,0.0,0.0,0.14144042232277526,0.026199971301389242,0.8216891050338745,0.011497591382722664
PU-C,0.0,0.0,200,10,104.3,1.4533486237727757,108.3,1.4533486237727757,0.0,0.0,108.3,1.4533486237727757,0.048014304105890915,0.00055946344200608,0.016959999999999996,0.0006083127850410858,0.2219846956897527,0.021997907961678546,1.0,0.0,0.0,0.0,105.3,1.4533486237727757,0.0,0.0,0.14386930646038015,0.02466709284000654,0.8247444987297058,0.007781727779645887
PU-C,0.0,0.0,50,10,50.0,0.0,54.0,0.0,129.7,29.138767609111017,183.7,29.138767609111017,0.07616599296452478,0.010640380360857182,0.04272,0.005954509029112115,0.09572192499181256,0.002927593631581695,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.09629629629629628,0.03193214112685818,0.8219438195228577,0.011787721170330716
PU-C,0.1,0.0,100,10,100.0,0.0,104.0,0.0,276.2,40.56922752804423,380.2,40.56922752804423,0.14766182730090804,0.014566825061824648,0.07742,0.009977917841135211,0.4555297372979112,0.01910618680435345,0.0,0.0,0.0,0.0,101.0,0.0,0.22692307692307692,0.012675461495695631,0.2913461538461538,0.012250971060010508,0.7747043788433075,0.012559600852882397
PU-C,0.1,0.0,200,10,193.9,2.451530134426253,197.9,2.451530134426253,15.3,7.646422547687106,213.2,9.231347560230725,0.08741167562548072,0.003395626875154159,0.012450000000000027,0.0025333881573015122,0.9397425624076277,0.05460187645982889,0.6,0.16329931618554522,0.4,0.16329931618554522,194.9,2.451530134426253,0.1912254429265784,0.0062028295729938294,0.3200992994416386,0.016524819721156204,0.5987413167953491,0.01738114750096952
PU-C,0.1,0.0,50,10,50.0,0.0,54.0,0.0,351.4,51.604737077994,405.4,51.604737077994,0.15648974584764802,0.01845500825464899,0.09375,0.013130280948166253,0.22936877509346232,0.008406613993844394,0.0,0.0,0.0,0.0,51.0,0.0,0.2444444444444444,0.019481152886493207,0.27222222222222225,0.026485725867808563,0.784088271856308,0.012698728283518229
