method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,group_revisit_rate,unique_group_fraction,max_group_selection_fraction,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
PU-R,manifold_orbit_fashion_mnist,1,0.1,0.0,warm_start,200,200,5000,0,204,2188,2392,0.5042845710995607,0.44025000000000003,0.44025,,,,,6.449573233956471,0,1,201,0.30392156862745096,0.6127450980392157,0.6521846652030945,0.6521846652030945,1.000000238418579,0.04032042167456867,0.8866995073891626,0.9261083743842364,0.8768472906403941,0.39215686274509803,0.6078431372549019,0.03431372549019608,0.9478670150299,0.004901960784313725,0.23370856400789716,0.6915728589980257
PU-R-Manifold,manifold_orbit_fashion_mnist,1,0.1,0.0,warm_start,50,50,5000,0,54,1895,1949,0.4149023055215366,0.43775,0.43775,,,,,1.2020321229938418,0,0,51,0.3148148148148148,0.5185185185185185,0.7243503332138062,0.7243503332138062,1.000000238418579,0.10402104427229683,0.5094339622641509,0.6037735849056604,0.49056603773584906,0.2037037037037037,0.7962962962962963,0.05555555555555555,0.9829046199683005,0.018518518518518517,0.32938411506403853,0.6676539712339904
PU-R-Manifold,manifold_orbit_fashion_mnist,1,0.1,0.0,warm_start,100,100,5000,0,104,1769,1873,0.3994823058019392,0.4295,0.4295,,,,,2.8241641100030392,0,0,101,0.2980769230769231,0.49038461538461536,0.6389025449752808,0.6389025449752808,1.0000001192092896,0.06692624612919336,0.8543689320388349,0.883495145631068,0.8252427184466019,0.23076923076923078,0.7692307692307693,0.038461538461538464,0.9701065802916616,0.009615384615384616,0.2874744253205337,0.6781313936698665
PU-R-Manifold,manifold_orbit_fashion_mnist,1,0.1,0.0,warm_start,200,200,5000,0,204,1907,2111,0.44768599211238325,0.42925,0.42925,,,,,8.142827264033258,0,1,201,0.3088235294117647,0.5196078431372549,0.6174788475036621,0.6174788475036621,1.0000001192092896,0.036651374964878476,0.9507389162561576,0.9458128078817734,0.9408866995073891,0.29411764705882354,0.7058823529411765,0.03431372549019608,0.9606750532642072,0.004901960784313725,0.22556312864989717,0.6936092178375257
GREATS,manifold_orbit_fashion_mnist,1,0.1,0.0,warm_start,50,50,5000,0,54,2225,2279,,0.46025000000000005,0.46025,,,,,1.0981693369103596,0,0,51,0.3333333333333333,0.6296296296296297,0.721390426158905,0.721390426158905,1.000000238418579,0.08532684310427252,0.7358490566037735,0.7735849056603774,0.6981132075471698,0.2962962962962963,0.7037037037037037,0.05555555555555555,0.9783549982429925,0.018518518518518517,0.30983950832959734,0.6725401229176007
GREATS,manifold_orbit_fashion_mnist,1,0.1,0.0,warm_start,100,100,5000,0,104,2088,2192,,0.46099999999999997,0.461,,,,,2.306947709992528,0,0,101,0.34615384615384615,0.5865384615384616,0.7109230756759644,0.7109230756759644,1.000000238418579,0.06598975097091453,0.7281553398058253,0.8543689320388349,0.7281553398058253,0.3557692307692308,0.6442307692307693,0.0673076923076923,0.9504451373997562,0.009615384615384616,0.285991512938165,0.6785021217654588
GREATS,manifold_orbit_fashion_mnist,1,0.1,0.0,warm_start,200,200,5000,0,204,1725,1929,,0.396,0.396,,,,,5.462236282997765,0,1,201,0.3235294117647059,0.6323529411764706,0.6971434950828552,0.6971434950828552,1.000000238418579,0.04738646745681763,0.7931034482758621,0.896551724137931,0.7881773399014779,0.4362745098039216,0.5637254901960784,0.04411764705882353,0.9413370297529351,0.004901960784313725,0.2617385615449384,0.6845653596137654
MaxLoss,manifold_orbit_fashion_mnist,1,0.1,0.3,warm_start,50,50,3500,1500,54,1531,1585,0.48324537207372487,0.41074999999999995,0.41075,,,,,0.4767547600204125,0,0,51,0.3148148148148148,0.6296296296296297,0.7653467655181885,0.7653467655181885,1.000000238418579,0.09385415011981749,0.5660377358490566,0.6792452830188679,0.5471698113207547,0.3888888888888889,0.6111111111111112,0.12962962962962962,0.9300313163088435,0.018518518518518517,0.30913169723092415,0.6727170756922689
MaxLoss,manifold_orbit_fashion_mnist,1,0.1,0.3,warm_start,100,100,3500,1500,104,1508,1612,0.4910156284458935,0.395,0.395,,,,,1.0576358990510926,0,0,101,0.3269230769230769,0.6346153846153846,0.7319311499595642,0.7319311499595642,1.000000238418579,0.061007404066983933,0.8349514563106796,0.9029126213592233,0.8349514563106796,0.36538461538461536,0.6346153846153846,0.0673076923076923,0.9475489561841645,0.009615384615384616,0.2716610537001201,0.68208473657497
MaxLoss,manifold_orbit_fashion_mnist,1,0.1,0.3,warm_start,200,200,3500,1500,204,1283,1487,0.4549796255887486,0.39475000000000005,0.39475,,,,,2.7879233710700646,0,1,201,0.3284313725490196,0.6715686274509803,0.7061628103256226,0.7061628103256226,1.0000003576278687,0.04500224114638831,0.8177339901477833,0.9064039408866995,0.812807881773399,0.46078431372549017,0.5392156862745098,0.04411764705882353,0.9407485442653559,0.004901960784313725,0.2608199872408516,0.6847950031897871
