method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-F,mnist,0,0.4,0.0,1000,0,300,265,565,0.6191077351104468,0.3802,0.8225177590439815,0.26510000000000006,0.4215854970887857,394.08553758696996,5.425046358956024,0,297,0.41333333333333333,0.0,0.5969296097755432
MaxLoss,mnist,0,0.4,0.2,800,200,300,148,448,0.6199621160048991,0.4236,0.8161904359300557,0.185875,0.3316156971943608,443.95840107759466,2.192221973091364,0,297,0.4633333333333333,0.0,0.593321681022644
Marginal,mnist,0,0.4,0.2,800,200,300,221,521,0.7086849966435693,0.37260000000000004,0.8393018415034048,0.2762125000000001,0.4337107547194489,334.174053212572,2.4987543569877744,0,297,0.39,0.0,0.6023226976394653
PU-C,mnist,0,0.4,0.2,800,200,300,202,502,0.6858110777684487,0.44830000000000003,0.8292248274293545,0.25132499999999997,0.406401194005498,352.3827697681634,3.083557754987851,0,297,0.42,0.0,0.5900301933288574
PU-F,mnist,0,0.4,0.2,800,200,300,181,481,0.6603467915556394,0.3882,0.8330573971507284,0.229575,0.38205807035824385,401.3340258935359,4.75911658606492,0,297,0.43333333333333335,0.0,0.5986045598983765
MaxLoss,mnist,0,0.4,0.4,600,400,300,61,361,0.6689078408526257,0.4194,0.8037531021842855,0.10243333333333336,0.22754764928600996,455.5131525374158,2.107118631945923,0,297,0.4533333333333333,0.0,0.582746684551239
Marginal,mnist,0,0.4,0.4,600,400,300,134,434,0.7842602417804301,0.4315,0.8446490159079768,0.22336666666666677,0.3750220398600858,332.0521812146747,2.3867660069372505,0,297,0.41,0.0,0.5965847969055176
PU-C,mnist,0,0.4,0.4,600,400,300,115,415,0.7547402519849129,0.39049999999999996,0.8376639123069183,0.19095000000000006,0.3375897014716484,367.5732789357064,2.8690741630271077,0,297,0.4066666666666667,0.0,0.5963661670684814
PU-F,mnist,0,0.4,0.4,600,400,300,101,401,0.7327493338962086,0.42889999999999995,0.8349959900063717,0.16933333333333336,0.3119065627881043,398.010814316031,4.019930969923735,0,297,0.44666666666666666,0.0,0.5987721085548401
MaxLoss,mnist,0,0.4,0.6,400,600,234,0,234,0.6662084806594066,0.38,0.7134541674399806,0.0010749999999999926,0.05671182058418006,385.0789928814792,1.5775090709794313,1,231,0.41452991452991456,0.0,0.5775817632675171
Marginal,mnist,0,0.4,0.6,400,600,300,22,322,0.8681811371352524,0.39239999999999997,0.791119723412083,0.05605000000000003,0.1621151660573069,355.7373039868601,2.2253135899081826,0,297,0.38666666666666666,0.0,0.601986825466156
PU-C,mnist,0,0.4,0.6,400,600,300,10,310,0.84209265204845,0.4041,0.7659940205533415,0.030049999999999986,0.12022672023751164,369.944298891815,2.590233282884583,0,297,0.3933333333333333,0.0,0.592576265335083
PU-F,mnist,0,0.4,0.6,400,600,283,0,283,0.7814742979244329,0.41490000000000005,0.7224149490408112,0.00037499999999999757,0.053742650394800584,401.2920664709549,2.9940948109142482,1,280,0.3992932862190813,0.0,0.6074674129486084
MaxLoss,mnist,0,0.4,0.8,200,800,140,0,140,0.8000421999022365,0.4488,0.8134732811100678,0.0004500000000000004,0.054095117094987655,271.1276654160066,0.9517086038831621,1,137,0.42857142857142855,0.0,0.5789766907691956
Marginal,mnist,0,0.4,0.8,200,800,174,0,174,0.9377831630408764,0.48250000000000004,0.8192624779983003,0.016100000000000017,0.09425601513078037,244.5011205930014,1.272052378859371,1,171,0.4367816091954023,0.0,0.5950195789337158
PU-C,mnist,0,0.4,0.8,200,800,157,0,157,0.8722261887742206,0.46530000000000005,0.8171391783346111,0.01035000000000001,0.0820302521672543,251.8100074251829,1.2920814771205187,1,154,0.43312101910828027,0.0,0.6105251312255859
PU-F,mnist,0,0.4,0.8,200,800,162,0,162,0.892342897481285,0.49660000000000004,0.8486094413701396,0.006200000000000006,0.07210841265083896,294.2127875109319,1.5047201050911099,1,159,0.4444444444444444,0.0,0.6224091649055481
MaxLoss,mnist,1,0.0,0.0,1000,0,182,0,182,0.2240735339000821,0.07469999999999999,0.39159034637768075,0.00010000000000000009,0.052297356577252714,307.2264157728029,1.3672387429978698,1,179,0.0,0.0,0.5861653089523315
Marginal,mnist,1,0.0,0.0,1000,0,300,30,330,0.3812558085191995,0.10809999999999997,0.4969673748184723,0.030000000000000037,0.12013966523799996,313.8550177428214,2.466936239041388,0,297,0.0,0.0,0.5726855397224426
PU-C,mnist,1,0.0,0.0,1000,0,239,0,239,0.28547296341275796,0.0736,0.3954008294841748,0.0005500000000000005,0.05454801818440308,307.15995128097177,2.2622712031006813,1,236,0.0,0.0,0.5708714127540588
PU-F,mnist,1,0.0,0.0,1000,0,207,0,207,0.2511599550489336,0.07730000000000004,0.41143799399851855,0.0008800000000000008,0.055941676588230516,326.95032268627756,2.547947624931112,1,204,0.0,0.0,0.5866882801055908
