method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-F,mnist,0,0.4,0.8,200,800,148,0,148,0.8346662065014243,0.45720000000000005,0.8163827474856555,0.0016000000000000014,0.058650839916401576,270.1360916096824,1.1993588469922543,1,145,0.4189189189189189,0.0,0.6198915243148804
PU-G,mnist,0,0.4,0.8,200,800,186,0,186,0.9770184690132737,0.48819999999999997,0.8470981160715282,0.01100000000000001,0.08348398598949686,282.8723868101644,1.5160661078989506,1,183,0.41935483870967744,0.0,0.6133624315261841
GREATS,mnist,0,0.4,0.8,200,800,147,0,147,,0.4911,0.8381512995084766,0.00015000000000000012,0.05258703511371194,299.0150343261071,1.1341599468141794,1,144,0.4421768707482993,0.0,0.5976069569587708
MaxLoss,mnist,1,0.0,0.0,1000,0,178,0,178,0.2197143894736655,0.07730000000000004,0.4057286190013708,0.002100000000000002,0.060365716020465206,307.9858125837172,1.132341400720179,1,175,0.0,0.0,0.5896777510643005
PU-C,mnist,1,0.0,0.0,1000,0,243,0,243,0.289736479986459,0.07920000000000005,0.4003265507846777,0.0009000000000000008,0.05602222259309981,310.63018007034157,1.9269820405170321,1,240,0.0,0.0,0.5706768035888672
PU-F,mnist,1,0.0,0.0,1000,0,208,0,208,0.2522380481241271,0.07720000000000005,0.4170358864223228,0.0017900000000000017,0.059315228338465316,326.9188746834144,2.154284553602338,1,205,0.0,0.0,0.5962787866592407
PU-G,mnist,1,0.0,0.0,1000,0,300,9,309,0.3593622624175623,0.0807,0.46574817306845845,0.009210000000000008,0.07942414264659042,352.9266203368093,3.2160538099706173,0,297,0.0,0.0,0.5980373024940491
GREATS,mnist,1,0.0,0.0,1000,0,215,0,215,,0.0827,0.42001496427945456,0.00033000000000000027,0.05352486547785713,345.7606372048525,1.8658307259902358,1,212,0.0,0.0,0.6058494448661804
MaxLoss,mnist,1,0.0,0.2,800,200,141,0,141,0.22257149027427658,0.09060000000000001,0.39554179105518716,0.0011249999999999839,0.056904272152197455,239.9652057253006,0.9174346961081028,1,138,0.0,0.0,0.5848187804222107
PU-C,mnist,1,0.0,0.2,800,200,209,0,209,0.3144955841707997,0.08919999999999995,0.40380341274081955,0.0010999999999999842,0.05680828327043258,249.5930854471727,1.645329287275672,1,206,0.0,0.0,0.5790134072303772
PU-F,mnist,1,0.0,0.2,800,200,177,0,177,0.27161084284307435,0.0887,0.422782105391692,8.749999999999924e-05,0.05222166611879781,281.24396249699396,1.7698106719180942,1,174,0.0,0.0,0.5925621390342712
PU-G,mnist,1,0.0,0.2,800,200,262,0,262,0.38432537828339264,0.08579999999999999,0.442672369711406,0.001887499999999963,0.059649842753946414,290.4823755278137,2.651555714197457,1,259,0.0,0.0,0.5956300497055054
GREATS,mnist,1,0.0,0.2,800,200,178,0,178,,0.07850000000000001,0.42161944704228466,0.001374999999999983,0.05784040545414288,268.4719424215147,1.5404524141922593,1,175,0.0,0.0,0.6077308058738708
MaxLoss,mnist,1,0.0,0.4,600,400,129,0,129,0.272298424388282,0.08979999999999999,0.430316177877942,0.00036666666666667404,0.05370270428777796,213.83444083235764,0.8281177114695311,1,126,0.0,0.0,0.5863295793533325
PU-C,mnist,1,0.0,0.4,600,400,162,0,162,0.331717949884478,0.09189999999999998,0.4319623063048141,0.0011833333333333307,0.05712646735601818,210.09096821429324,1.245401124469936,1,159,0.0,0.0,0.5888165831565857
PU-F,mnist,1,0.0,0.4,600,400,142,0,142,0.29586143541382626,0.08979999999999999,0.4463399306794623,3.33333333333341e-05,0.05186964375175258,231.79406263562635,1.317850441671908,1,139,0.0,0.0,0.5996604561805725
