method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,selection_steps,certified_bound,test_error,test_inappropriate_risk,pool_empirical_error,support_empirical_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,self_selected_bound,self_selected_bound_raw,self_selected_empirical_risk,self_selected_initial_gap,self_selected_reciprocal_gap,self_selected_total_gap,self_selected_lipschitz_sample,self_selected_log_cover_constant,self_selected_concentration_rate_constant,self_selected_data_diameter,self_selected_dimension,self_selected_wasserstein_p,ada_bound,ada_bound_raw,ada_empirical_risk,ada_alpha,ada_query_count,ada_initial_size,ada_final_size,ada_sigma,ada_beta,ada_epsilon,ada_delta_sum,ada_gamma_star,runtime_sec,stop_reached,train_calls,loss_eval_count,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
PU-R,mnist,0,0.0,0.5,2500,2500,439,0,439,435,0.20229163172189146,0.05410000000000004,0.0541,0.0,0.0,0.36402329873475087,0.00019199999999999662,0.10181880046678299,442.8962662114347,1.0,15.528673598829789,0.0,1.0113850264248379,14.51728857240495,15.528673598829789,0.9996,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.8411678817599524,0.8411678817599524,0.0,0.8411678817599524,436,2500,2500,0.058780160722749115,1.582581761977049e-05,0.3076923076923077,6.156497280607256,18.492910616754475,20.16006570775062,1,436,993426,0.0,0.0,0.5705348253250122,0.5705348253250122,0.9932835102081299,0.014429556582889575,0.997716894977169,0.997716894977169,0.997716894977169,0.0,0.0,0.175221391348773,1.4123893043256135
GREATS,mnist,0,0.0,0.5,2500,2500,370,0,370,366,,0.0514,0.0514,0.0,0.0,0.3759516288791843,0.0001519999999999877,0.10158514782302402,478.1810018842953,1.0,13.391132497755093,0.0,1.0113850264248379,12.379747471330255,13.391132497755093,0.9996,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.7717253720068622,0.7717253720068622,0.0,0.7717253720068622,367,2500,2500,0.058780160722749115,1.582581761977049e-05,0.3076923076923077,3.37759233164069,21.418155255465944,8.786854011006653,1,367,848871,0.0,0.0,0.5860880017280579,0.5860880017280579,0.989568829536438,0.018126539606159314,0.997289972899729,0.994579945799458,0.994579945799458,0.0,0.0,0.17974433462052108,1.4101278326897395
PU-R,mnist,0,0.0,0.6,2000,3000,379,0,379,375,0.22011592029593885,0.060699999999999976,0.0607,0.0,0.0,0.39811841369459533,0.00043999999999998706,0.10313977651420497,428.9457571701659,1.0,16.553908846160645,0.0,1.0116725628910501,15.542236283269595,16.553908846160645,0.9995,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.9398799609646007,0.9398799609646007,0.0,0.9398799609646007,376,2000,2000,0.058780160722749115,0.00012568600613418795,0.46153846153846156,1.025615938862782,19.408849685784514,14.086246218532324,1,376,679996,0.0,0.0,0.5774432420730591,0.5774432420730591,0.9904235601425171,0.01729904368357171,0.9973544973544973,0.9947089947089947,0.9947089947089947,0.0,0.0,0.1803472263275924,1.4098263868362038
GREATS,mnist,0,0.0,0.6,2000,3000,329,0,329,325,,0.058699999999999974,0.0587,0.0,0.0,0.39853697935595045,0.0002899999999999858,0.1023624185825865,432.7060791277573,1.0,14.646112544604645,0.0,1.0116725628910501,13.634439981713594,14.646112544604645,0.9995,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.9094684149106826,0.9094684149106826,0.0,0.9094684149106826,326,2000,2000,0.1193776641714437,0.00012568600613418795,0.15384615384615385,3.373937385518811,32.81323298637733,6.780646670609713,1,326,597721,0.0,0.0,0.5985681414604187,0.5985681414604187,0.9846356511116028,0.01943092326997075,0.9969512195121951,0.9969512195121951,0.9969512195121951,0.0,0.0,0.18243701682276162,1.4087814915886192
PU-R,mnist,0,0.0,0.7,1500,3500,310,0,310,306,0.2429931885562837,0.06659999999999999,0.0666,0.0,0.0,0.4260557049233681,2.666666666666817e-05,0.10076916065846014,380.0157754500366,1.0,17.788803457198085,0.0,1.0120433825029667,16.77676007469512,17.788803457198085,0.9993333333333333,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.9739203656048249,0.9739203656048249,0.0,0.9739203656048249,307,1500,1500,0.1193776641714437,0.00099817731491033,0.3076923076923077,0.13608911543004767,35.611965249541306,8.577075369656086,1,307,412301,0.0,0.0,0.5783012509346008,0.5783012509346008,0.9945081472396851,0.02108633062805269,0.9967637540453075,0.9967637540453075,0.9967637540453075,0.0,0.0,0.18927210433080885,1.4053639478345956
GREATS,mnist,0,0.0,0.7,1500,3500,271,0,271,267,,0.07179999999999997,0.0718,0.0,0.0,0.4304838571236259,0.00018666666666667276,0.10178811129506177,385.9910561049106,1.0,15.836060371881263,0.0,1.0120433825029667,14.824016989378297,15.836060371881263,0.9993333333333333,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.9591827365775145,0.9591827365775145,0.0,0.9591827365775145,268,1500,1500,0.1193776641714437,0.00099817731491033,0.3076923076923077,0.058179987475882024,40.318687198846455,4.618357795290649,1,268,365150,0.0,0.0,0.5934022665023804,0.5934022665023804,0.9883896112442017,0.020986707899202074,0.9962962962962963,0.9962962962962963,0.9962962962962963,0.0,0.0,0.18444556577505453,1.4077772171124727
PU-R,mnist,0,0.0,0.8,1000,4000,229,0,229,225,0.274790070601739,0.07840000000000003,0.0784,0.0,0.0,0.4700033860117231,0.001220000000000001,0.10665055025712784,300.74254673521,1.0,19.33260654798685,0.0,1.012566254188933,18.320040293797916,19.33260654798685,0.999,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.0499191723107657,0.0,1.0499191723107657,226,1000,1000,0.1193776641714437,0.00012568600613418795,0.3076923076923077,1.0373632687215038,22.738363341454367,4.60044482909143,1,226,199671,0.0,0.0,0.573032021522522,0.573032021522522,0.9919089078903198,0.027120010216573353,0.9956140350877193,0.9912280701754386,0.9912280701754386,0.0,0.0,0.2008112136869843,1.3995943931565078
GREATS,mnist,0,0.0,0.8,1000,4000,221,0,221,217,,0.07899999999999996,0.079,0.0,0.0,0.49331496615685577,0.0004400000000000004,0.1031397765142051,343.19690606077415,1.0,18.749465107518862,0.0,1.012566254188933,17.73689885332993,18.749465107518862,0.999,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.0391617338035664,0.0,1.0391617338035664,218,1000,1000,0.1193776641714437,0.00012568600613418795,0.3076923076923077,0.8989145216544727,23.46179068269317,3.2000446198508143,1,218,193475,0.0,0.0,0.6066845655441284,0.6066845655441284,0.9834163188934326,0.0255295865745707,0.9954545454545455,0.9954545454545455,0.9954545454545455,0.0,0.0,0.19353371669970043,1.4032331416501498
PU-R,mnist,1,0.0,0.0,5000,0,687,0,687,683,0.15467773930868134,0.04039999999999999,0.0404,0.0,0.0,0.30990891124928027,0.00018799999999998817,0.10179579609273366,608.7603108694676,1.0,12.615866544196832,0.0,1.0104923776789552,11.605374166517876,12.615866544196832,0.9998,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.6766509273276381,0.6766509273276381,0.0,0.6766509273276381,684,5000,5000,0.058780160722749115,0.00012568600613418795,0.3076923076923077,0.13446673679800225,42.37240525547481,64.83453165180981,1,684,3183678,0.0,0.0,0.5665159225463867,0.5665159225463867,0.9937800168991089,0.009137610118305339,0.9985422740524781,0.9985422740524781,0.9985422740524781,0.0,0.0,0.16807595675399603,1.415962021623002
GREATS,mnist,1,0.0,0.0,5000,0,620,0,620,616,,0.04239999999999999,0.0424,0.0,0.0,0.3182068003004623,0.00013599999999998946,0.10148918804701175,651.8128197216494,1.0,11.546261089110192,0.0,1.0104923776789552,10.535768711431237,11.546261089110192,0.9998,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.6732490116645539,0.6732490116645539,0.0,0.6732490116645539,617,5000,5000,0.058780160722749115,0.00012568600613418795,0.3076923076923077,0.06360752887830606,46.611898072018455,29.362916151992977,1,617,2892496,0.0,0.0,0.5806069374084473,0.5806069374084473,0.9904998540878296,0.009719345129587009,0.9983844911147012,0.9983844911147012,0.9983844911147012,0.0,0.0,0.16289699752638823,1.418551501236806
