method,noise_rate,pretrain_fraction,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,train_calls_mean,train_calls_se
PU-F,0.4,0.2,10,399.5,10.572763750946738,0.0,0.0,399.5,10.572763750946738,0.19305790351936594,0.004704238343462918,0.02087000000000001,0.002215152364962739,3.7615128959005233,0.20721326967749276,1.0,0.0,396.5,10.572763750946738
PU-F,0.4,0.3,10,355.4,13.485135849849227,0.0,0.0,355.4,13.485135849849227,0.19775669537484647,0.006863843037703257,0.018909999999999982,0.0018806884082401534,2.7377976751013193,0.21024664885394678,1.0,0.0,352.4,13.485135849849227
PU-F,0.4,0.4,10,310.9,9.4085658371035,0.0,0.0,310.9,9.4085658371035,0.20371237984509208,0.005606112600393431,0.02307999999999999,0.002224350092349078,2.2176580207946244,0.26482197793669443,1.0,0.0,307.9,9.4085658371035
PU-F,0.4,0.5,10,263.9,6.49178968646808,0.0,0.0,263.9,6.49178968646808,0.2100326031970326,0.004659060864012216,0.025609999999999987,0.0019931242922719156,1.2425183705927338,0.09642440379333866,1.0,0.0,260.9,6.49178968646808
PU-F,0.4,0.6,10,225.3,6.58963833099612,0.0,0.0,225.3,6.58963833099612,0.2266820284188725,0.005932661787004103,0.02780999999999999,0.002040830440994279,0.6817120833031367,0.02873425382037425,1.0,0.0,222.3,6.58963833099612
PU-F,0.4,0.7,10,157.7,7.23118247591637,0.0,0.0,157.7,7.23118247591637,0.2186976555036381,0.008920870011389774,0.02611000000000001,0.0021195099014211342,0.4571293666958809,0.014764152901257835,1.0,0.0,154.7,7.23118247591637
PU-F,0.4,0.8,10,105.4,5.67097875150313,0.0,0.0,105.4,5.67097875150313,0.22868572692968883,0.010526181605969062,0.03972000000000001,0.005092844653694701,0.3447755248984322,0.009981857700811881,1.0,0.0,102.4,5.67097875150313
PU-G,0.0,0.0,10,128.5,8.00312438988674,0.0,0.0,128.5,8.00312438988674,0.055693547235568984,0.003048671057449708,0.007310000000000006,0.0009477986190231693,0.34820581270032563,0.019280909193868084,1.0,0.0,125.5,8.00312438988674
PU-G,0.0,0.1,10,61.5,4.351883372620282,0.0,0.0,61.5,4.351883372620282,0.03286193859530613,0.0019439163409378046,0.007269999999999999,0.0006936297443321075,0.13163829162367618,0.0067721122583303235,1.0,0.0,58.5,4.351883372620282
PU-G,0.0,0.2,10,53.3,6.137408066747539,0.0,0.0,53.3,6.137408066747539,0.03269993719295598,0.0031500645239646028,0.008479999999999988,0.0009160058223978004,0.13154053760808893,0.00949263341503809,1.0,0.0,50.3,6.137408066747539
PU-G,0.0,0.3,10,39.9,3.7960505792204615,0.0,0.0,39.9,3.7960505792204615,0.029556550760753454,0.0022555872155151082,0.006690000000000018,0.0006320073839231092,0.1373079414071981,0.005924328460895554,1.0,0.0,36.9,3.7960505792204615
PU-G,0.0,0.4,10,27.3,2.616401260425387,0.0,0.0,27.3,2.616401260425387,0.02553194934152998,0.0019280695399255872,0.005600000000000016,0.0008804039476916901,0.141554066905519,0.0036346825004489325,1.0,0.0,24.3,2.616401260425387
PU-G,0.0,0.5,10,22.3,2.812867259971971,0.0,0.0,22.3,2.812867259971971,0.02618152103968896,0.002494278370974466,0.004470000000000018,0.0006920260110718359,0.15551798770902678,0.004235126422864589,1.0,0.0,19.3,2.812867259971971
PU-G,0.0,0.6,10,16.9,2.208317610006918,0.0,0.0,16.9,2.208317610006918,0.026588276628172026,0.002581916981705736,0.004600000000000004,0.0007733045971672486,0.17630109579768033,0.0026753028620500018,1.0,0.0,13.9,2.208317610006918
PU-G,0.0,0.7,10,14.1,1.2333333333333334,0.0,0.0,14.1,1.2333333333333334,0.03125895423581824,0.0019303303949933226,0.005200000000000005,0.0007331818025261874,0.19498472090344876,0.0016188009369083579,1.0,0.0,11.1,1.2333333333333334
PU-G,0.0,0.8,10,8.6,1.0561986345169907,0.0,0.0,8.6,1.0561986345169907,0.0334200692246668,0.002630660083301821,0.0035499999999999863,0.0006792561290771615,0.20865789980744012,0.001391467010805595,1.0,0.0,5.6,1.0561986345169907
PU-G,0.4,0.0,10,531.4,18.9796382122175,3.4,3.4,534.8,20.581977013342957,0.20282383824232966,0.007247122994994465,0.02533000000000001,0.002259599276174626,6.075472595798783,0.3180974849761911,0.9,0.09999999999999999,528.4,18.9796382122175
PU-G,0.4,0.1,10,499.7,12.209331586036058,0.0,0.0,499.7,12.209331586036058,0.21132893391186372,0.004767541011017434,0.018720000000000004,0.002701801867889897,5.34378990859841,0.1857850730160639,1.0,0.0,496.7,12.209331586036058
PU-G,0.4,0.2,10,464.3,11.249740737753323,0.0,0.0,464.3,11.249740737753323,0.22172283005784266,0.00494594745547427,0.017799999999999983,0.0016024980499208105,4.577690954197896,0.2874895432508675,1.0,0.0,461.3,11.249740737753323
PU-G,0.4,0.3,10,369.4,7.251360025693264,0.0,0.0,369.4,7.251360025693264,0.20492190995137208,0.0036830483411345394,0.018949999999999988,0.0021022871143378864,2.4962502122973094,0.15339356262398507,1.0,0.0,366.4,7.251360025693264
PU-G,0.4,0.4,10,331.1,7.160772770215981,0.0,0.0,331.1,7.160772770215981,0.21574473383952864,0.004254158940677267,0.01814,0.0020448417488348044,2.2432254999992436,0.19924122577286538,1.0,0.0,328.1,7.160772770215981
PU-G,0.4,0.5,10,285.7,9.018561107207981,0.0,0.0,285.7,9.018561107207981,0.22561985797947273,0.006446094347259501,0.026190000000000012,0.002039577843029727,1.23322307500639,0.1423394441109207,1.0,0.0,282.7,9.018561107207981
PU-G,0.4,0.6,10,228.6,8.469815687355764,0.0,0.0,228.6,8.469815687355764,0.2296143143903464,0.00762758415562093,0.024390000000000012,0.00219602924489736,0.7158926834119483,0.037305648110320916,1.0,0.0,225.6,8.469815687355764
PU-G,0.4,0.7,10,180.0,7.484799410954325,0.0,0.0,180.0,7.484799410954325,0.24573672143742442,0.00907024549467393,0.028579999999999994,0.004485849355968659,0.5209911209065468,0.02299486262601211,1.0,0.0,177.0,7.484799410954325
PU-G,0.4,0.8,10,106.0,4.671426144361294,0.0,0.0,106.0,4.671426144361294,0.2298845178214833,0.00861774374215294,0.03841,0.004353349923398708,0.3442000249051489,0.007695004785135686,1.0,0.0,103.0,4.671426144361294
