method,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,train_calls
PU-G,0,0.4,0.8,600,2400,112,0,112,0.24114056106191128,0.019399999999999973,0.3639203750062734,1,109
GREATS,0,0.4,0.8,600,2400,101,0,101,,0.023499999999999965,0.3225113750086166,1,98
MaxLoss,1,0.0,0.0,3000,0,118,0,118,0.05174200655892491,0.018900000000000028,0.22293470799922943,1,115
PU-C,1,0.0,0.0,3000,0,107,0,107,0.04751565994229168,0.018100000000000005,0.17034274997422472,1,104
PU-F,1,0.0,0.0,3000,0,132,0,132,0.057082461076788604,0.009000000000000008,0.426340333011467,1,129
PU-G,1,0.0,0.0,3000,0,171,0,171,0.07177707378286868,0.0031999999999999806,0.46594866702798754,1,168
GREATS,1,0.0,0.0,3000,0,145,0,145,,0.0043999999999999595,0.4295132920378819,1,142
MaxLoss,1,0.0,0.1,2700,300,47,0,47,0.02636197186075151,0.006800000000000028,0.07890887500252575,1,44
PU-C,1,0.0,0.1,2700,300,65,0,65,0.034475019783712924,0.009600000000000053,0.1134246249566786,1,62
PU-F,1,0.0,0.1,2700,300,74,0,74,0.038456011563539505,0.008900000000000019,0.145895958004985,1,71
PU-G,1,0.0,0.1,2700,300,74,0,74,0.038456011563539505,0.00880000000000003,0.14472920802654698,1,71
GREATS,1,0.0,0.1,2700,300,61,0,61,,0.006000000000000005,0.11872741597471759,1,58
MaxLoss,1,0.0,0.2,2400,600,62,0,62,0.0372571304324083,0.008299999999999974,0.11154820799129084,1,59
PU-C,1,0.0,0.2,2400,600,47,0,47,0.029640937224030495,0.005900000000000016,0.11014187498949468,1,44
PU-F,1,0.0,0.2,2400,600,63,0,63,0.037758647406008095,0.007600000000000051,0.14303766697412357,1,60
PU-G,1,0.0,0.2,2400,600,73,0,73,0.04273886897135526,0.008199999999999985,0.15880912501597777,1,70
GREATS,1,0.0,0.2,2400,600,70,0,70,,0.007900000000000018,0.14921045798109844,1,67
MaxLoss,1,0.0,0.3,2100,900,49,0,49,0.0350237141828984,0.008600000000000052,0.12794862501323223,1,46
