dataset,method,noise_rate,pretrain_fraction,es_budget,n,step_mean,step_se,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se
mnist,MaxLoss,0.1,0.0,50,3,50.0,0.0,54.0,0.0,374.6666666666667,28.345095597729856,428.6666666666667,28.345095597729856,0.48247054760577157,0.0288673368899681,0.3955,0.023178438256276017,0.7780645369339191,0.021485006292121304,0.3693600000000001,0.023372717000811054,0.5310869374206919,0.023916084737130968,141.5778819831991,4.308540340899278,0.40044055754939717,0.00021599850563865666,0.0,0.0,0.0,0.0,51.0,0.0,0.2901234567901234,0.034368915819938416,0.0,0.0,0.6045831839243571,0.011749014079985506
mnist,MaxLoss,0.2,0.0,100,3,100.0,0.0,104.0,0.0,385.3333333333333,8.353309390761112,489.3333333333333,8.353309390761112,0.5438705730290773,0.008367201988752732,0.4309,0.015928695280321415,0.8459073289219837,0.005541512644088994,0.3850833333333334,0.010891015155214467,0.5472691897429381,0.010907093516472743,242.29578469791474,4.963731007133895,0.7851419507836302,0.0006208821312172971,0.0,0.0,0.0,0.0,101.0,0.0,0.3942307692307692,0.016654334688162287,0.0,0.0,0.5876273711522421,0.0027477458226398397
mnist,MaxLoss,0.2,0.0,200,3,200.0,0.0,204.0,0.0,271.0,15.62049935181331,475.0,15.62049935181331,0.5294388503340693,0.015715611581695384,0.3679333333333334,0.009405199507600964,0.8181485448503376,0.010463559224231802,0.26990333333333333,0.015681821039379058,0.42662133406969094,0.01717635670798877,373.93267582414813,6.284551881653684,1.471954667319854,0.0010210684632856282,0.0,0.0,1.0,0.0,201.0,0.0,0.3758169934640523,0.0016339869281045694,0.0,0.0,0.5900901357332865,0.003901961985295345
mnist,MaxLoss,0.2,0.0,50,3,50.0,0.0,54.0,0.0,416.3333333333333,15.169413670643673,470.3333333333333,15.169413670643673,0.5247460193544006,0.015251832512787729,0.42969999999999997,0.015188921401249451,0.8159368746166767,0.009626242696048901,0.4177366666666667,0.014812816897688456,0.5796603578445004,0.014506035155417827,141.66901895788556,1.970690975932964,0.4005677876994014,0.00044120938087514845,0.0,0.0,0.0,0.0,51.0,0.0,0.38271604938271603,0.016331798216448083,0.0,0.0,0.6017076174418131,0.001490751953500502
mnist,MaxLoss,0.3,0.0,100,3,100.0,0.0,104.0,0.0,415.0,15.567059238447492,519.0,15.567059238447492,0.5734771659481339,0.015530242771666328,0.4769333333333334,0.013291266974136715,0.8597966503574187,0.008974667224736733,0.41141,0.017162188088935496,0.5733755605741341,0.01703158063351595,235.40931682269664,5.000081222995176,0.7911592749878764,0.004295764605889754,0.0,0.0,0.0,0.0,101.0,0.0,0.4423076923076923,0.00961538461538462,0.0,0.0,0.5897099773089091,0.013523298420688503
mnist,MaxLoss,0.3,0.0,200,3,200.0,0.0,204.0,0.0,320.0,4.163331998932265,524.0,4.163331998932265,0.578504404402338,0.004140615824157098,0.42819999999999997,0.009559811713627001,0.8488106785608176,0.0031660499854877086,0.3193566666666667,0.0047136692478129865,0.47979353544790504,0.004962867158549653,361.70615385890073,3.1844256711813625,1.4825700723255675,0.007533697469004972,0.0,0.0,1.0,0.0,201.0,0.0,0.434640522875817,0.008646246114590167,0.0,0.0,0.5856092969576517,0.005027817190132899
mnist,MaxLoss,0.3,0.0,50,3,50.0,0.0,54.0,0.0,469.6666666666667,19.16884045643983,523.6666666666666,19.16884045643983,0.5780941087092893,0.019030138695053225,0.4893666666666667,0.030197258889582097,0.8472196368120636,0.014835915548673483,0.4692799999999999,0.021950027334834928,0.629334587618474,0.02071848562770592,134.78253483333302,2.3149390615328778,0.4033036809414625,0.002260660965609962,0.0,0.0,0.0,0.0,51.0,0.0,0.43209876543209874,0.03266359643289618,0.0,0.0,0.58299853404363,0.011642612367798282
mnist,MaxLoss,0.4,0.0,100,3,100.0,0.0,104.0,0.0,422.6666666666667,10.493384159131464,526.6666666666666,10.493384159131464,0.5811357232742012,0.010424038389535943,0.47289999999999993,0.018294899106946,0.8686445749656597,0.006268437062782159,0.42321000000000003,0.010211351526610008,0.5851063912771669,0.009981033179633657,238.83061463890826,5.560704846867818,0.7860678527504206,1.5125013402458298e-05,0.0,0.0,0.0,0.0,101.0,0.0,0.4551282051282051,0.008479972150848048,0.0,0.0,0.5891948541005453,0.008711061034436576
mnist,MaxLoss,0.4,0.0,200,3,200.0,0.0,204.0,0.0,339.3333333333333,8.192137151629673,543.3333333333334,8.192137151629673,0.5976850025278205,0.008117895957347665,0.46516666666666673,0.0184699154783604,0.8613319079205471,0.0069909425541024245,0.3381266666666667,0.006712188747180591,0.49938076958934136,0.006971204738409279,363.8268864170036,13.38788073124261,1.4736732738092542,0.0005587115229634922,0.0,0.0,1.0,0.0,201.0,0.0,0.4754901960784313,0.007487868782607573,0.0,0.0,0.5790374676386515,0.004705636881234098
mnist,MaxLoss,0.4,0.0,50,3,50.0,0.0,54.0,0.0,457.3333333333333,7.356025496904637,511.3333333333333,7.356025496904637,0.5658768112771213,0.0073330995821356175,0.4962666666666667,0.006699336617241375,0.8446994286564928,0.0038284278582302917,0.4598566666666666,0.0066597355636525074,0.6206208729085079,0.006357457540270786,140.08633547551145,1.3917636493368681,0.40057663433253765,6.224303678620288e-05,0.0,0.0,0.0,0.0,51.0,0.0,0.43209876543209874,0.016331798216448097,0.0,0.0,0.6007208029429117,0.012769123790966437
mnist,PU-C,0.0,0.0,100,3,100.0,0.0,104.0,0.0,109.66666666666667,27.241716376012565,213.66666666666666,27.24171637601257,0.25806572841247544,0.029182310140409062,0.1512,0.0216472477080421,0.5450702570998028,0.03363066267931126,0.10921666666666667,0.02520675989579869,0.23505989354779086,0.03256740324940437,194.44501699550975,4.06796588129981,0.9720182931050658,0.004108280449056757,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.5785860816637675,0.0027947929986770694
mnist,PU-C,0.0,0.0,200,3,200.0,0.0,204.0,0.0,25.0,5.507570547286102,229.0,5.507570547286102,0.27477928697286796,0.005892023557605039,0.0954,0.003004995840263329,0.46724720257750957,0.00806640730569706,0.023923333333333355,0.005670556508060842,0.10868266072774312,0.010454790331104599,293.41339247633306,9.824296693103136,1.8313084642092388,0.0024404060048930564,0.0,0.0,1.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.580301304658254,0.005180884165148681
mnist,PU-C,0.0,0.0,50,3,50.0,0.0,54.0,0.0,185.66666666666666,9.769567259835233,239.66666666666666,9.769567259835233,0.2861511253092128,0.010428366068310263,0.20026666666666668,0.008701021651379657,0.5872974650667488,0.010383670088998903,0.18587333333333333,0.01020463511242697,0.3314765183403124,0.012100366055628824,125.5557445557262,3.7162297682369423,0.4988889852538705,0.001354530276082325,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.5631746649742126,0.0048869125600565985
