method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,group_revisit_rate,unique_group_fraction,max_group_selection_fraction,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
PU-R-Vol,volume_gap_fashion_mnist,0,0.1,0.6,warm_start,100,100,2000,3000,104,567,671,0.37267063424224034,0.36175,0.36175,,,,,1.6923594570253044,0,0,101,0.375,0.625,0.71946781873703,0.71946781873703,0.9999998807907104,0.05361354640386637,0.7961165048543689,0.8446601941747572,0.7864077669902912,0.36538461538461536,0.6346153846153846,0.04807692307692308,0.9703076578262704,0.009615384615384616,0.2627774067084421,1.382111630608181
PU-R-Vol,volume_gap_fashion_mnist,0,0.1,0.6,warm_start,200,200,2000,3000,204,503,707,0.3911677966825664,0.36250000000000004,0.3625,,,,,5.18350882793311,0,1,201,0.37745098039215685,0.7549019607843137,0.7338271141052246,0.7338271141052246,0.9999995231628418,0.033067448239021115,0.8768472906403941,0.9310344827586207,0.8719211822660099,0.5196078431372549,0.4803921568627451,0.0392156862745098,0.951645917654801,0.004901960784313725,0.23173897226915505,1.4255654388231829
GREATS,volume_gap_fashion_mnist,0,0.1,0.6,warm_start,50,50,2000,3000,54,747,801,,0.383,0.383,,,,,0.6560155479237437,0,0,51,0.37037037037037035,0.7407407407407407,0.7478455305099487,0.7478455305099487,0.9999881386756897,0.07628661000503684,0.7169811320754716,0.8113207547169812,0.7169811320754716,0.3148148148148148,0.6851851851851852,0.037037037037037035,0.9838379409151413,0.018518518518518517,0.27678194668007877,1.3625052746478896
GREATS,volume_gap_fashion_mnist,0,0.1,0.6,warm_start,100,100,2000,3000,104,656,760,,0.33775,0.33775,,,,,1.4112280419794843,0,0,101,0.3557692307692308,0.6634615384615384,0.7344419360160828,0.7344419360160828,0.9999905824661255,0.053399760167575576,0.7475728155339806,0.8446601941747572,0.7475728155339806,0.3269230769230769,0.6730769230769231,0.028846153846153848,0.9817721604566548,0.009615384615384616,0.25529960142248326,1.3925805580085233
GREATS,volume_gap_fashion_mnist,0,0.1,0.6,warm_start,200,200,2000,3000,204,434,638,,0.3235,0.3235,,,,,3.585920518031344,0,1,201,0.3137254901960784,0.696078431372549,0.7232751250267029,0.7232751250267029,0.9999819993972778,0.03189100141595737,0.896551724137931,0.9261083743842364,0.8916256157635468,0.4264705882352941,0.5735294117647058,0.0196078431372549,0.9714554725743809,0.004901960784313725,0.2191415406972217,1.4432018430238895
MaxLoss,volume_gap_fashion_mnist,1,0.1,0.0,warm_start,50,50,5000,0,54,1861,1915,0.40800709219183773,0.4075,0.4075,,,,,0.5151030700653791,0,0,51,0.3888888888888889,0.7407407407407407,0.7537445425987244,0.7537445425987244,0.9999997615814209,0.06980868161849256,0.8113207547169812,0.6981132075471698,0.6981132075471698,0.5740740740740741,0.42592592592592593,0.14814814814814814,0.8684353281545617,0.018518518518518517,0.27061577636818,1.3711379130845478
MaxLoss,volume_gap_fashion_mnist,1,0.1,0.0,warm_start,100,100,5000,0,104,2021,2125,0.4505137978703715,0.41625,0.41625,,,,,1.1539389350218698,0,0,101,0.38461538461538464,0.625,0.7768042087554932,0.7768042087554932,0.9999996423721313,0.05501972298020298,0.7669902912621359,0.8446601941747572,0.7572815533980582,0.4423076923076923,0.5576923076923077,0.07692307692307693,0.9205170609513852,0.009615384615384616,0.24897836064571202,1.401430295096003
MaxLoss,volume_gap_fashion_mnist,1,0.1,0.0,warm_start,200,200,5000,0,204,2124,2328,0.4914231259608641,0.4065,0.4065,,,,,3.030176590080373,0,1,201,0.38235294117647056,0.6274509803921569,0.7266694903373718,0.7266694903373718,0.9999997615814209,0.03263125425489078,0.8423645320197044,0.916256157635468,0.8374384236453202,0.45588235294117646,0.5441176470588235,0.04411764705882353,0.9357732928747231,0.004901960784313725,0.24948416631961254,1.4007221671525423
PU-R,volume_gap_fashion_mnist,1,0.1,0.0,warm_start,50,50,5000,0,54,2070,2124,0.4503118396969512,0.4115,0.4115,,,,,0.9938691960414872,0,0,51,0.37037037037037035,0.46296296296296297,0.7426979541778564,0.7426979541778564,0.9999924302101135,0.08848934972061301,0.6981132075471698,0.7169811320754716,0.6415094339622641,0.18518518518518517,0.8148148148148148,0.037037037037037035,0.9862779695621688,0.018518518518518517,0.2885595069994079,1.3460166902008288
PU-R,volume_gap_fashion_mnist,1,0.1,0.0,warm_start,100,100,5000,0,104,2081,2185,0.4626234500319697,0.37725,0.37725,,,,,2.3324397860560566,0,0,101,0.33653846153846156,0.47115384615384615,0.6936715245246887,0.6936715245246887,0.9999839067459106,0.05202516566202479,0.8543689320388349,0.912621359223301,0.8349514563106796,0.17307692307692307,0.8269230769230769,0.019230769230769232,0.9887992659091451,0.009615384615384616,0.249227010202512,1.401082185716483
PU-R,volume_gap_fashion_mnist,1,0.1,0.0,warm_start,200,200,5000,0,204,2240,2444,0.5147218368947506,0.35324999999999995,0.35325,,,,,6.495193838025443,0,1,201,0.3431372549019608,0.5392156862745098,0.6262699365615845,0.6262699365615845,0.9999757409095764,0.030009637618887013,0.9359605911330049,0.9655172413793104,0.9359605911330049,0.25,0.75,0.024509803921568627,0.9749949256181651,0.004901960784313725,0.212990632573829,1.4518131143966395
PU-R-Vol,volume_gap_fashion_mnist,1,0.1,0.0,warm_start,50,50,5000,0,54,2193,2247,0.4751206442597322,0.4095,0.4095,,,,,1.020360694034025,0,0,51,0.37037037037037035,0.48148148148148145,0.7391576766967773,0.7391576766967773,0.9999956488609314,0.10475659707807145,0.5471698113207547,0.6037735849056604,0.5094339622641509,0.18518518518518517,0.8148148148148148,0.037037037037037035,0.9862779695621688,0.018518518518518517,0.309384009746973,1.3168623863542377
PU-R-Vol,volume_gap_fashion_mnist,1,0.1,0.0,warm_start,100,100,5000,0,104,2607,2711,0.5681341228773817,0.42400000000000004,0.424,,,,,2.4286052969982848,0,0,101,0.36538461538461536,0.5384615384615384,0.7075663208961487,0.7075663208961487,0.999999463558197,0.059847087536043335,0.7961165048543689,0.8349514563106796,0.7864077669902912,0.3173076923076923,0.6826923076923077,0.04807692307692308,0.9670210052347643,0.009615384615384616,0.2735020860444907,1.3670970795377129
PU-R-Vol,volume_gap_fashion_mnist,1,0.1,0.0,warm_start,200,200,5000,0,204,2122,2326,0.4910209284280427,0.40325,0.40325,,,,,7.078672258066945,0,1,201,0.36764705882352944,0.6078431372549019,0.693942666053772,0.693942666053772,0.9999995231628418,0.036743116496231756,0.8522167487684729,0.9064039408866995,0.8472906403940886,0.43137254901960786,0.5686274509803921,0.029411764705882353,0.9489814425151452,0.004901960784313725,0.24398366332285154,1.4084228713480076
GREATS,volume_gap_fashion_mnist,1,0.1,0.0,warm_start,50,50,5000,0,54,2054,2108,,0.402,0.402,,,,,1.0321441070409492,0,0,51,0.3333333333333333,0.5740740740740741,0.7536044716835022,0.7536044716835022,0.9999905824661255,0.07210931463061639,0.7924528301886793,0.8113207547169812,0.7924528301886793,0.25925925925925924,0.7407407407407407,0.037037037037037035,0.9839232868770611,0.018518518518518517,0.26497459139032736,1.3790355720535414
GREATS,volume_gap_fashion_mnist,1,0.1,0.0,warm_start,100,100,5000,0,104,1874,1978,,0.39175000000000004,0.39175,,,,,2.237641165032983,0,0,101,0.3557692307692308,0.6057692307692307,0.7329273223876953,0.7329273223876953,0.9999871253967285,0.05491782797193064,0.7961165048543689,0.8640776699029126,0.7766990291262136,0.28846153846153844,0.7115384615384616,0.028846153846153848,0.9849913909328243,0.009615384615384616,0.2613242716667174,1.3841460196665956
