method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
PU-R,mnist,1,0.0,0.2,support,4000,1000,284,0,284,0.08522520458791405,0.04600000000000004,0.046,,,,,7.833709783968516,1,281,0.0,0.0,0.6702106595039368,0.6702106595039368,0.9752670526504517,0.03184752484171424,0.9858657243816255,0.9823321554770318,0.9717314487632509,0.0,0.0,0.20639704365697165,1.3968014781715141
GREATS,mnist,1,0.0,0.2,support,4000,1000,532,0,532,,0.04179999999999995,0.0418,,,,,20.01957867096644,1,529,0.0,0.0,0.6164484620094299,0.6164484620094299,0.9896517395973206,0.01610155995293273,0.9962335216572504,0.992467043314501,0.9905838041431262,0.0,0.0,0.18440483455259887,1.4077975827237006
MaxLoss,mnist,1,0.0,0.3,support,3500,1500,221,0,221,0.0775135307922028,0.0464,0.0464,,,,,3.2183381819631904,1,218,0.0,0.0,0.731160044670105,0.731160044670105,0.9814727306365967,0.03793534849855033,0.9818181818181818,0.9772727272727273,0.9727272727272728,0.0,0.0,0.20661394710880598,1.396693026445597
Marginal,mnist,1,0.0,0.3,support,3500,1500,451,0,451,0.14878027967642993,0.04290000000000005,0.0429,,,,,12.913714938098565,1,448,0.0,0.0,0.6350624561309814,0.6350624561309814,0.9843900203704834,0.020039557392398516,0.9866666666666667,0.9911111111111112,0.98,0.0,0.0,0.19470198505147532,1.4026490074742624
PU-R,mnist,1,0.0,0.3,support,3500,1500,263,0,263,0.090733218123205,0.041200000000000014,0.0412,,,,,6.820780897978693,1,260,0.0,0.0,0.7040058374404907,0.7040058374404907,0.9753382205963135,0.03561617124057908,0.9885496183206107,0.9732824427480916,0.9694656488549618,0.0,0.0,0.21174341254160317,1.3941282937291986
GREATS,mnist,1,0.0,0.3,support,3500,1500,427,0,427,,0.043300000000000005,0.0433,,,,,12.443997472990304,1,424,0.0,0.0,0.6474711298942566,0.6474711298942566,0.9801229238510132,0.022342184672193347,0.9953051643192489,0.9953051643192489,0.9929577464788732,0.0,0.0,0.1970678160102321,1.4014660919948838
MaxLoss,mnist,1,0.0,0.4,support,3000,2000,178,0,178,0.07439100183546543,0.04620000000000002,0.0462,,,,,2.494609239976853,1,175,0.0,0.0,0.777610182762146,0.777610182762146,0.9729341268539429,0.04695619055527752,0.9830508474576272,0.9717514124293786,0.9661016949152542,0.0,0.0,0.2078688965943894,1.3960655517028053
Marginal,mnist,1,0.0,0.4,support,3000,2000,339,0,339,0.13324576301965863,0.04159999999999997,0.0416,,,,,7.483185736928135,1,336,0.0,0.0,0.6661545634269714,0.6661545634269714,0.983137845993042,0.026754975914073414,0.9704142011834319,0.9940828402366864,0.9674556213017751,0.0,0.0,0.20388618549171386,1.398056907254143
PU-R,mnist,1,0.0,0.4,support,3000,2000,182,0,182,0.07588188053341582,0.04459999999999997,0.0446,,,,,3.6979147610254586,1,179,0.0,0.0,0.768790602684021,0.768790602684021,0.9856164455413818,0.046377839530864474,0.9723756906077348,0.9668508287292817,0.9447513812154696,0.0,0.0,0.20989631859295457,1.3950518407035228
GREATS,mnist,1,0.0,0.4,support,3000,2000,315,0,315,,0.03990000000000005,0.0399,,,,,7.201470152940601,1,312,0.0,0.0,0.6719714999198914,0.6719714999198914,0.9893887042999268,0.030171103757705278,0.9872611464968153,0.9840764331210191,0.9745222929936306,0.0,0.0,0.20848253017899446,1.3957587349105027
