dataset,method,noise_rate,pretrain_fraction,pretrain_training_mode,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,test_inappropriate_risk_mean,test_inappropriate_risk_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se,mean_support_redundancy_mean,mean_support_redundancy_se,max_support_redundancy_mean,max_support_redundancy_se,mean_selected_residual_novelty_mean,mean_selected_residual_novelty_se,local_redundancy_hit_rate_mean,local_redundancy_hit_rate_se,residual_redundancy_hit_rate_mean,residual_redundancy_hit_rate_se,strong_redundancy_hit_rate_mean,strong_redundancy_hit_rate_se,mode_entropy_mean,mode_entropy_se,minority_mode_fraction_mean,minority_mode_fraction_se,spectral_entropy_mean,spectral_entropy_se,dynamic_mu_mean,dynamic_mu_se
mnist,Marginal,0.0,0.1,support,5,681.6,10.961751684835779,0.0,0.0,681.6,10.961751684835779,0.1704164229799062,0.002567054608922543,0.04243999999999999,0.0008096912991998884,0.04244,0.0008096912991998863,,,,,,,,,33.14635752881877,1.3064462077871213,1.0,0.0,,,678.6,10.961751684835779,0.0,0.0,0.0,0.0,0.5837166547775269,0.0015829407054285159,0.5837166547775269,0.0015829407054285159,0.9939741373062134,0.0006432622922905388,0.010514506210166724,0.0002516686134728641,0.9958956455147281,0.0005161378174448775,0.9982490603474632,0.0002630409376328594,0.9956155334699102,0.0007447476196712993,0.0,0.0,0.0,0.0,0.1764978502775852,0.001043160543028091,1.4117510748612074,0.0005215802715140445
mnist,Marginal,0.0,0.2,support,5,530.2,13.69452445322582,0.0,0.0,530.2,13.69452445322582,0.15146290473639965,0.003639388495102238,0.04078000000000002,0.0008266801074176132,0.04078,0.0008266801074176155,,,,,,,,,18.46345911140088,1.1102766525120618,1.0,0.0,,,527.2,13.69452445322582,0.0,0.0,0.0,0.0,0.6146174311637879,0.0031257664543016444,0.6146174311637879,0.0031257664543016444,0.991170859336853,0.0008795827668734141,0.015353081523613189,0.0005150409315250738,0.9916025854268398,0.0016648175222362946,0.9957923636697774,0.0009742967506701774,0.9900813717900971,0.0019003930515601069,0.0,0.0,0.0,0.0,0.18531410067077797,0.000869773027784151,1.407342949664611,0.000434886513892062
mnist,Marginal,0.0,0.3,support,5,419.2,11.407892005098926,0.0,0.0,419.2,11.407892005098926,0.13905175796244293,0.00349340071590293,0.04172000000000002,0.00035270384177097226,0.04172,0.00035270384177096787,,,,,,,,,11.104211413813754,0.6415990739747213,1.0,0.0,,,416.2,11.407892005098926,0.0,0.0,0.0,0.0,0.6426575064659119,0.0026407577876525756,0.6426575064659119,0.0026407577876525756,0.9907161951065063,0.0017682288913267747,0.0205101032807159,0.00023482821652747932,0.9910891560931698,0.001879301831568135,0.9948694292067826,0.001243060459176307,0.9888188696129795,0.0028543773252487814,0.0,0.0,0.0,0.0,0.19456506001281254,0.0005566496461512886,1.4027174699935938,0.00027832482307562587
mnist,Marginal,0.0,0.4,support,5,336.8,8.132650244538985,0.0,0.0,336.8,8.132650244538985,0.13244644937803968,0.0029297888259758775,0.04181999999999999,0.0007241546796092765,0.04182,0.0007241546796092665,,,,,,,,,7.481102332775481,0.33892827333993775,1.0,0.0,,,333.8,8.132650244538985,0.0,0.0,0.0,0.0,0.665900719165802,0.003743462007619195,0.665900719165802,0.003743462007619195,0.9894486784934997,0.00207520963807494,0.02588941122631429,0.0007153159200328536,0.9839051018938614,0.0034408321359260755,0.9934450183579129,0.0005726904318769132,0.9809394430192497,0.003423393108894317,0.0,0.0,0.0,0.0,0.20145525155732846,0.0018475302171978391,1.3992723742213358,0.0009237651085988904
mnist,Marginal,0.0,0.5,support,5,265.2,6.807348970047003,0.0,0.0,265.2,6.807348970047003,0.12757203907240183,0.0029723365219411295,0.041199999999999994,0.0007286974680894599,0.0412,0.0007286974680894668,,,,,,,,,5.411098716990091,0.2219380667256371,1.0,0.0,,,262.2,6.807348970047003,0.0,0.0,0.0,0.0,0.6972486019134522,0.004757779233370998,0.6972486019134522,0.004757779233370998,0.9870849967002868,0.0023033831316078357,0.032782562692431884,0.0008291466076992318,0.9810933058027167,0.003246658242559198,0.9900496421922952,0.0020083290958640525,0.9772869619237256,0.003844972275587286,0.0,0.0,0.0,0.0,0.2088324137070785,0.001612531078824399,1.3955837931464607,0.0008062655394121674
mnist,Marginal,0.0,0.6,support,5,213.2,3.903844259188627,0.0,0.0,213.2,3.903844259188627,0.13061732259811834,0.002145906389874961,0.0413,0.000612372435695796,0.041299999999999996,0.0006123724356957941,,,,,,,,,4.104168867808767,0.1154360807717121,1.0,0.0,,,210.2,3.903844259188627,0.0,0.0,0.0,0.0,0.7179407238960266,0.00392629000462277,0.7179407238960266,0.00392629000462277,0.9870657682418823,0.002849551015204242,0.03929070482004182,0.0013769595757599962,0.9713400394359694,0.005378692834889824,0.9800657652474168,0.002073604210191888,0.9609208003751224,0.006186565526695413,0.0,0.0,0.0,0.0,0.21405902101464652,0.00246006552415202,1.3929704894926769,0.001230032762075992
mnist,Marginal,0.0,0.7,support,5,172.6,6.69776081985614,0.0,0.0,172.6,6.69776081985614,0.14363567560212687,0.004938818919377399,0.04274000000000002,0.000602992537267253,0.04274,0.0006029925372672534,,,,,,,,,3.331392283993773,0.17127792686414933,1.0,0.0,,,169.6,6.69776081985614,0.0,0.0,0.0,0.0,0.7438171863555908,0.0037385266735489647,0.7438171863555908,0.0037385266735489647,0.9849535346031189,0.0033379511471875374,0.046989266856799994,0.0012294334477391076,0.9448645505926134,0.003533429850443911,0.9663692536564941,0.002782859760958348,0.9277673636372283,0.0038600990005582883,0.0,0.0,0.0,0.0,0.21936708620404968,0.0008568015157221973,1.3903164568979751,0.00042840075786109225
mnist,Marginal,0.0,0.8,support,5,138.0,3.911521443121589,0.0,0.0,138.0,3.911521443121589,0.1756577223772183,0.004347287506428623,0.044579999999999974,0.0007761443164772962,0.04458,0.000776144316477291,,,,,,,,,2.6203104805899784,0.0962039652872729,1.0,0.0,,,135.0,3.911521443121589,0.0,0.0,0.0,0.0,0.7499811530113221,0.002657908242887957,0.7499811530113221,0.002657908242887957,0.9839588761329651,0.0034763568082129964,0.056359469486709876,0.0011352137673881395,0.8773042021781366,0.016679775455913804,0.9415035122016244,0.006781848019561931,0.856528334108105,0.015728970985882506,0.0,0.0,0.0,0.0,0.22955482176597303,0.000652545702810752,1.3852225891170136,0.0003262728514053725
mnist,MaxLoss,0.0,0.0,support,5,481.8,14.252719038836062,0.0,0.0,481.8,14.252719038836062,0.11107462908839807,0.003051560808047485,0.04530000000000001,0.0005683308895353079,0.0453,0.0005683308895353136,,,,,,,,,15.128954518982209,1.5058451258978296,1.0,0.0,,,478.8,14.252719038836062,0.0,0.0,0.0,0.0,0.5751577019691467,0.0003216981460429125,0.5751577019691467,0.0003216981460429125,0.9906491994857788,0.0006525062895165766,0.013102558374013659,0.0004572649693401127,0.9970677254703494,0.0005344912891305523,0.9979127908760965,6.1971607896949e-05,0.9970677254703494,0.0005344912891305523,0.0,0.0,0.0,0.0,0.16966009824441508,0.0012429495337281861,1.4151699508777924,0.000621474766864104
mnist,MaxLoss,0.0,0.1,support,5,361.2,8.2365041127896,0.0,0.0,361.2,8.2365041127896,0.09449169166618958,0.001982037046210835,0.04594,0.0005134199061197359,0.04594,0.0005134199061197365,,,,,,,,,7.742668918590061,0.3676788604583543,1.0,0.0,,,358.2,8.2365041127896,0.0,0.0,0.0,0.0,0.6244657754898071,0.0027235092159199124,0.6244657754898071,0.0027235092159199124,0.9873994708061218,0.002120286080572335,0.022255156407166382,0.0005524935563562263,0.9966684913214421,0.0005444241014501931,0.9961004839316351,0.0006921682124425831,0.9955510333821845,0.0006814960624677395,0.0,0.0,0.0,0.0,0.19190222204676352,0.0011994192170111764,1.404048888976618,0.0005997096085056004
