method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-C,mnist,1,0.3,0.8,100,100,1000,4000,104,422,526,0.5804975463543087,0.42910000000000004,0.844831655765488,0.4199,0.5819269194166854,189.93387761997488,1.3122336990199983,0,0,101,0.38461538461538464,0.0,0.5759141445159912
PU-C,mnist,1,0.3,0.8,200,200,1000,4000,204,339,543,0.5973699957830831,0.3671,0.8327818671960916,0.33918000000000004,0.5005060915265055,284.2612184042023,2.4950267411768436,0,0,201,0.3333333333333333,0.0,0.5711737871170044
PU-C,mnist,1,0.3,0.8,500,500,1000,4000,504,119,623,0.6758741909870878,0.2319,0.733238352321286,0.11899999999999998,0.2492745321755153,500.3182747037845,5.95012403302826,0,1,501,0.34325396825396826,0.0,0.5715970993041992
Marginal,mnist,1,0.3,0.8,50,50,1000,4000,54,456,510,0.5645584334270097,0.4312,0.8311047255399443,0.45758999999999994,0.6184789142822309,120.64123472615032,0.609184310073033,0,0,51,0.3148148148148148,0.0,0.5897643566131592
Marginal,mnist,1,0.3,0.8,100,100,1000,4000,104,435,539,0.5934058632701635,0.4043,0.8507641757190866,0.4360100000000001,0.5976607220964766,180.48674870857747,1.1379207260906696,0,0,101,0.28846153846153844,0.0,0.5902734398841858
Marginal,mnist,1,0.3,0.8,200,200,1000,4000,204,378,582,0.6358288149931468,0.3659,0.8556073288403399,0.37872000000000006,0.5409418184560306,275.4441236801175,2.084963039960712,0,0,201,0.28431372549019607,0.0,0.5901278853416443
Marginal,mnist,1,0.3,0.8,500,500,1000,4000,504,168,672,0.7231801095767878,0.24,0.7713339366848687,0.16800000000000004,0.31030131411396866,471.3690543389444,4.652500973083079,0,1,501,0.2718253968253968,0.0,0.5854511260986328
MaxLoss,mnist,2,0.0,0.0,50,50,5000,0,54,1548,1602,0.34427952993428335,0.31410000000000005,0.5631641054699436,0.278768,0.43648396806074496,153.0363859824355,1.111122070113197,0,0,51,0.0,0.0,0.6040636897087097
MaxLoss,mnist,2,0.0,0.0,100,100,5000,0,104,896,1000,0.22022938472218812,0.1865,0.45945661871425336,0.16186399999999998,0.3028802676115753,247.30882246506786,2.20074927713722,0,0,101,0.0,0.0,0.5825510025024414
MaxLoss,mnist,2,0.0,0.0,200,200,5000,0,204,432,636,0.14389873063191772,0.10880000000000001,0.38231629053379435,0.085718,0.20487824088299317,356.56311196609033,3.9672985391225666,0,0,201,0.0,0.0,0.5715540051460266
MaxLoss,mnist,2,0.0,0.0,500,471,5000,0,475,0,475,0.10962596832541749,0.04530000000000001,0.22817145673381387,0.00045400000000000106,0.05411358452833832,564.1229386197642,8.04839307605289,1,0,472,0.0,0.0,0.5732730031013489
PU-R,mnist,2,0.0,0.0,50,50,5000,0,54,1340,1394,0.3016609022160992,0.27070000000000005,0.5393929996153853,0.2596240000000001,0.4155700612434727,145.5462456919446,1.6369171768892556,0,0,51,0.0,0.0,0.564057469367981
PU-R,mnist,2,0.0,0.0,100,100,5000,0,104,1134,1238,0.26953851227881387,0.21599999999999997,0.5099049770100659,0.212416,0.3625110192656077,211.40671819340184,3.329090426908806,0,0,101,0.0,0.0,0.5852805376052856
PU-R,mnist,2,0.0,0.0,200,200,5000,0,204,464,668,0.15066584129817784,0.09830000000000005,0.3711954088032484,0.09272,0.21447640231036974,277.4759695296598,6.850642167963088,0,0,201,0.0,0.0,0.5840217471122742
PU-R,mnist,2,0.0,0.0,500,500,5000,0,504,109,613,0.13902656105346978,0.055499999999999994,0.28847483912548916,0.022032,0.10577516196393384,482.9385118851296,25.974954233970493,0,1,501,0.0,0.0,0.5780678987503052
PU-C,mnist,2,0.0,0.0,50,50,5000,0,54,1206,1260,0.27407743694493547,0.24039999999999995,0.5007931215903731,0.23159799999999997,0.3843421405416811,128.52336382889195,1.5069142871070653,0,0,51,0.0,0.0,0.5702143907546997
PU-C,mnist,2,0.0,0.0,100,100,5000,0,104,879,983,0.21669158450094983,0.17669999999999997,0.455963413865642,0.17195,0.3150494406145263,198.17761203321857,2.8896693291608244,0,0,101,0.0,0.0,0.5909344553947449
PU-C,mnist,2,0.0,0.0,200,200,5000,0,204,652,856,0.19018635660177097,0.13249999999999995,0.42354226738581396,0.125094,0.25710809195531986,292.1768982741171,5.2008059120271355,0,0,201,0.0,0.0,0.5862339735031128
PU-C,mnist,2,0.0,0.0,500,500,5000,0,504,103,607,0.13775437098229304,0.05069999999999997,0.2796010502364645,0.020385999999999987,0.10266359043500202,462.7899641918213,11.078996105119586,0,1,501,0.0,0.0,0.5741740465164185
Marginal,mnist,2,0.0,0.0,50,50,5000,0,54,1386,1440,0.31110612268093973,0.268,0.5443599324291066,0.278138,0.4358008156642258,109.88867279014556,1.3217752540949732,0,0,51,0.0,0.0,0.5996831655502319
Marginal,mnist,2,0.0,0.0,100,100,5000,0,104,1263,1367,0.29611145035596564,0.24980000000000002,0.5389353741144829,0.25199599999999994,0.4071449073741708,166.07852324741162,2.5771608070936054,0,0,101,0.0,0.0,0.5949385762214661
Marginal,mnist,2,0.0,0.0,200,200,5000,0,204,696,900,0.19938501057913527,0.14949999999999997,0.4265561623288078,0.139392,0.27519267989910856,237.56442290850975,4.589760943083093,0,0,201,0.0,0.0,0.5862450003623962
Marginal,mnist,2,0.0,0.0,500,500,5000,0,504,267,771,0.17236442799912766,0.06720000000000004,0.3370741616201244,0.053204,0.1577854345125765,400.8589633651411,9.49043577699922,0,1,501,0.0,0.0,0.5736227035522461
MaxLoss,mnist,2,0.0,0.2,50,50,4000,1000,54,1043,1097,0.2995017633656971,0.25639999999999996,0.5139690807693275,0.23099500000000003,0.38366176183614653,128.65355648121343,0.9626483728643507,0,0,51,0.0,0.0,0.5667511224746704
