method,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-F,4,0.2,0.0,3000,0,367,0,367,0.1433046076563187,0.011399999999999966,3.6863596670445986,1,364,0.2125340599455041,0.3188010899182561,0.40814346075057983
PU-G,4,0.2,0.0,3000,0,390,0,390,0.15153842966537923,0.008099999999999996,3.165585749957245,1,387,0.2,0.36666666666666664,0.531165361404419
GREATS,4,0.2,0.0,3000,0,420,0,420,,0.008399999999999963,2.270131458004471,1,417,0.19047619047619047,0.40476190476190477,0.44784367084503174
MaxLoss,4,0.3,0.0,3000,0,427,0,427,0.16473459382541478,0.01970000000000005,0.8049807079951279,1,424,0.2786885245901639,0.38875878220140514,0.3312424123287201
PU-C,4,0.3,0.0,3000,0,413,0,413,0.15974830387858674,0.016900000000000026,2.8954663750482723,1,410,0.25181598062953997,0.3898305084745763,0.4106703996658325
PU-F,4,0.3,0.0,3000,0,467,0,467,0.17893839586758986,0.020399999999999974,5.5476475420291536,1,464,0.23554603854389722,0.40471092077087795,0.46794211864471436
PU-G,4,0.3,0.0,3000,0,425,0,425,0.16402276017470285,0.015499999999999958,4.380446875002235,1,422,0.2635294117647059,0.36,0.6274076700210571
GREATS,4,0.3,0.0,3000,0,465,0,465,,0.022800000000000042,3.3717865829821676,1,462,0.24946236559139784,0.3720430107526882,0.4781348705291748
MaxLoss,4,0.4,0.0,3000,0,567,0,567,0.2142040331964381,0.021299999999999986,1.1953457919880748,1,564,0.2821869488536155,0.3950617283950617,0.7300264239311218
PU-C,4,0.4,0.0,3000,0,543,0,543,0.2057693019742146,0.02200000000000002,4.085331375012174,1,540,0.292817679558011,0.40331491712707185,0.5578933954238892
PU-F,4,0.4,0.0,3000,0,528,0,528,0.20048869505990297,0.01529999999999998,6.037630708015058,1,525,0.30113636363636365,0.3958333333333333,0.6986564993858337
PU-G,4,0.4,0.0,3000,0,596,0,596,0.2243736449163407,0.026000000000000023,6.7145467909867875,1,593,0.26174496644295303,0.3674496644295302,0.4469587206840515
GREATS,4,0.4,0.0,3000,0,559,0,559,,0.013299999999999979,4.35194149997551,1,556,0.2737030411449016,0.37924865831842575,0.4996035099029541
MaxLoss,5,0.0,0.0,3000,0,124,0,124,0.054035715002100915,0.021100000000000008,0.29530004202388227,1,121,0.0,0.12903225806451613,0.8571480512619019
PU-C,5,0.0,0.0,3000,0,104,0,104,0.04635784780839458,0.01539999999999997,0.19615108298603445,1,101,0.0,0.09615384615384616,0.7863674759864807
PU-F,5,0.0,0.0,3000,0,145,0,145,0.06200788344722241,0.007900000000000018,0.49301383295096457,1,142,0.0,0.11724137931034483,0.7150580286979675
PU-G,5,0.0,0.0,3000,0,120,0,120,0.05250743729993701,0.00880000000000003,0.4488838749821298,1,117,0.0,0.175,0.7180986404418945
GREATS,5,0.0,0.0,3000,0,145,0,145,,0.0020999999999999908,0.5210845000110567,1,142,0.0,0.19310344827586207,0.6248960494995117
MaxLoss,5,0.1,0.0,3000,0,205,0,205,0.08441813272656873,0.006900000000000017,0.4215353750041686,1,202,0.1951219512195122,0.2926829268292683,0.6571383476257324
PU-C,5,0.1,0.0,3000,0,185,0,185,0.07699875242542475,0.0046000000000000485,1.0649943750468083,1,182,0.21621621621621623,0.3081081081081081,0.6763425469398499
PU-F,5,0.1,0.0,3000,0,226,0,226,0.0921636478160508,0.0020000000000000018,2.1304732090211473,1,223,0.17699115044247787,0.2610619469026549,0.5297375321388245
PU-G,5,0.1,0.0,3000,0,198,0,198,0.0818263849359937,0.00649999999999995,1.7858500000438653,1,195,0.20202020202020202,0.31313131313131315,0.646298348903656
GREATS,5,0.1,0.0,3000,0,260,0,260,,0.0012999999999999678,1.37676883302629,1,257,0.15384615384615385,0.2923076923076923,0.5434558987617493
MaxLoss,5,0.2,0.0,3000,0,303,0,303,0.12025012710364535,0.013000000000000012,0.6048924580099992,1,300,0.264026402640264,0.3795379537953795,0.42925170063972473
PU-C,5,0.2,0.0,3000,0,319,0,319,0.12603523599682376,0.011900000000000022,2.158510417037178,1,316,0.2507836990595611,0.3448275862068966,0.4214283525943756
PU-F,5,0.2,0.0,3000,0,316,0,316,0.12495169276371598,0.007199999999999984,3.3731896660174243,1,313,0.25,0.3291139240506329,0.418194055557251
PU-G,5,0.2,0.0,3000,0,357,0,357,0.13971675105858594,0.012900000000000023,3.254026416980196,1,354,0.22128851540616246,0.32212885154061627,0.5176504850387573
GREATS,5,0.2,0.0,3000,0,412,0,412,,0.008099999999999996,2.933378708024975,1,409,0.18932038834951456,0.3422330097087379,0.372357040643692
