method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,mnist,2,0.1,0.0,1000,0,300,37,337,0.388527957664337,0.23050000000000004,0.5973653112103862,0.038960000000000036,0.13526216956803147,452.5965280225134,1.8796071941033006,0,297,0.30333333333333334,0.0,0.5802114009857178
PU-C,mnist,2,0.1,0.0,1000,0,300,80,380,0.4329306802828796,0.18620000000000003,0.6134589774744302,0.08158999999999995,0.1991436146170959,351.82538347868206,2.4971518525853753,0,297,0.18,0.0,0.5861554145812988
PU-F,mnist,2,0.1,0.0,1000,0,300,84,384,0.43703834275947884,0.2006,0.6397389933036773,0.08369999999999997,0.2020822051928714,394.1096360064667,3.8609026558697224,0,297,0.24666666666666667,0.0,0.6022866368293762
PU-G,mnist,2,0.1,0.0,1000,0,300,185,485,0.5395395061932504,0.24019999999999997,0.7443107905775317,0.18477,0.33031056713484996,368.9592907573852,4.131658717058599,0,297,0.14666666666666667,0.0,0.6096125245094299
GREATS,mnist,2,0.1,0.0,1000,0,300,48,348,,0.19189999999999996,0.6228196629580296,0.04972000000000003,0.152415269020389,464.21520942250334,2.810517559759319,0,297,0.26666666666666666,0.0,0.5967691540718079
MaxLoss,mnist,2,0.2,0.0,1000,0,300,192,492,0.5465587953221984,0.3749,0.7978470877239651,0.19319999999999996,0.3402278638093307,482.94863952469444,1.8795611821115017,0,297,0.37666666666666665,0.0,0.5786358118057251
PU-C,mnist,2,0.2,0.0,1000,0,300,192,492,0.5465587953221984,0.20079999999999998,0.7463217833795951,0.19041,0.33695559926303903,361.5882813165345,2.602330490015447,0,297,0.25666666666666665,0.0,0.5786277055740356
PU-F,mnist,2,0.2,0.0,1000,0,300,161,461,0.5153907752246596,0.26449999999999996,0.7395361074979775,0.16230000000000003,0.30340943536082043,407.4405058639397,4.235326041467488,0,297,0.30666666666666664,0.0,0.5907608866691589
PU-G,mnist,2,0.2,0.0,1000,0,300,276,576,0.6299349311739206,0.30410000000000004,0.8223326916868388,0.27527,0.4326865420985692,373.30940169297355,4.326156951487064,0,297,0.21333333333333335,0.0,0.5802788138389587
GREATS,mnist,2,0.2,0.0,1000,0,300,167,467,,0.34430000000000005,0.7726567202872601,0.16866000000000003,0.3110962337539175,473.23278785818894,2.932744569145143,0,297,0.37333333333333335,0.0,0.6161812543869019
MaxLoss,mnist,2,0.3,0.0,1000,0,300,226,526,0.5804975463543087,0.39670000000000005,0.8197210267987621,0.2272,0.3793711879692094,467.4529448662647,1.8840638604015112,0,297,0.42333333333333334,0.0,0.5772283673286438
PU-C,mnist,2,0.3,0.0,1000,0,300,231,531,0.5854667774983682,0.24309999999999998,0.7785450653934644,0.2323,0.38513375536299155,349.3220753267437,2.6422345181927085,0,297,0.29,0.0,0.5819595456123352
PU-F,mnist,2,0.3,0.0,1000,0,300,251,551,0.6052873922744766,0.3597,0.8166273558242082,0.2513,0.4063734766802566,406.2392301338,4.397668374702334,0,297,0.38,0.0,0.6047326326370239
PU-G,mnist,2,0.3,0.0,1000,0,300,303,603,0.6563904977519996,0.36950000000000005,0.8424961888619237,0.30302,0.46253056363592615,374.8430484731375,4.40642611682415,0,297,0.27666666666666667,0.0,0.5792459845542908
GREATS,mnist,2,0.3,0.0,1000,0,300,221,521,,0.4101,0.8174281034600936,0.22110999999999997,0.37245444585065834,474.54647542120557,2.984010176733136,0,297,0.39666666666666667,0.0,0.6152674555778503
MaxLoss,mnist,2,0.4,0.0,1000,0,300,239,539,0.5934058632701635,0.47729999999999995,0.8367566677117639,0.24023999999999993,0.3940527709811425,490.49041161074996,1.8794240318238735,0,297,0.44333333333333336,0.0,0.5850840210914612
PU-C,mnist,2,0.4,0.0,1000,0,300,304,604,0.6573669976205565,0.3255,0.8346467231801118,0.30435,0.4639451635538113,350.5344742884884,2.6931036030873656,0,297,0.3566666666666667,0.0,0.5712891817092896
PU-F,mnist,2,0.4,0.0,1000,0,300,298,598,0.6515043885447085,0.3992,0.8479277342053209,0.29666000000000003,0.45574649044718607,403.5018974615073,4.650888335891068,0,297,0.41,0.0,0.6012200117111206
PU-G,mnist,2,0.4,0.0,1000,0,300,346,646,0.6981570358620957,0.42269999999999996,0.8752659836046658,0.34651,0.5080855005748014,391.1303730301712,4.474150424823165,0,297,0.4066666666666667,0.0,0.569646418094635
GREATS,mnist,2,0.4,0.0,1000,0,300,259,559,,0.47450000000000003,0.8436480537864324,0.26057,0.4166111906687232,466.7211176858484,3.0165119785815477,0,297,0.44666666666666666,0.0,0.6194136738777161
