method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
PU-R,manifold_duplicate_fashion_mnist,4,0.1,0.0,50,50,5000,0,54,2041,2095,0.4444531807093881,0.41225,0.41225,,,,,1.0754231214523315,0,0,51,0.2037037037037037,0.7592592592592593,0.6374356746673584,0.6374356746673584,0.9779662489891052,0.07986730252796749,0.8867924528301887,0.8867924528301887,0.8301886792452831,0.8858947839572945,0.018518518518518517,0.284918155182921,1.3575409224085395
PU-R,manifold_duplicate_fashion_mnist,4,0.1,0.0,100,100,5000,0,104,1919,2023,0.4298918078420684,0.38175000000000003,0.38175,,,,,2.4651962062343955,0,0,101,0.18269230769230768,0.7692307692307693,0.6018166542053223,0.6018166542053223,0.9844847917556763,0.0457453416678512,0.9805825242718447,0.970873786407767,0.9611650485436893,0.8909919400794414,0.028846153846153848,0.23598865456672452,1.3820056727166379
PU-R,manifold_duplicate_fashion_mnist,4,0.1,0.0,200,200,5000,0,204,1810,2014,0.42807004787027836,0.35824999999999996,0.35825,,,,,6.77043083216995,0,1,201,0.17647058823529413,0.7647058823529411,0.5960015654563904,0.5960015654563904,0.9950673580169678,0.026744440512208662,0.9950738916256158,0.9852216748768473,0.9852216748768473,0.9119822503568334,0.029411764705882353,0.1981233190433853,1.4009383404783073
PU-R-Manifold,manifold_duplicate_fashion_mnist,4,0.1,0.0,50,50,5000,0,54,2229,2283,0.48236960824579,0.44799999999999995,0.448,,,,,1.3248900081962347,0,0,51,0.25925925925925924,0.7592592592592593,0.6813364028930664,0.6813364028930664,1.0000001192092896,0.09028752453906357,0.7547169811320755,0.7358490566037735,0.7169811320754716,0.8900214375664859,0.018518518518518517,0.3010835047832862,1.3494582476083568
PU-R-Manifold,manifold_duplicate_fashion_mnist,4,0.1,0.0,100,100,5000,0,104,2016,2120,0.4495039639878087,0.41125,0.41125,,,,,3.137113595381379,0,0,101,0.19230769230769232,0.75,0.6357871294021606,0.6357871294021606,1.0000001192092896,0.05116784992148575,0.9320388349514563,0.9320388349514563,0.9029126213592233,0.8691114546188164,0.009615384615384616,0.24870961383681772,1.3756451930815912
PU-R-Manifold,manifold_duplicate_fashion_mnist,4,0.1,0.0,200,200,5000,0,204,1846,2050,0.43535496370168403,0.391,0.391,,,,,8.837332395836711,0,1,201,0.18627450980392157,0.7401960784313726,0.6158040165901184,0.6158040165901184,1.000000238418579,0.029914200342641088,0.9704433497536946,0.9655172413793104,0.9655172413793104,0.9048517663189289,0.00980392156862745,0.20519671219323432,1.397401643903383
GREATS,manifold_duplicate_fashion_mnist,4,0.1,0.0,50,50,5000,0,54,2341,2395,,0.475,0.475,,,,,1.2502288604155183,0,0,51,0.24074074074074073,0.8148148148148148,0.6961297392845154,0.6961297392845154,1.0000005960464478,0.08786820873336972,0.6792452830188679,0.7735849056603774,0.6415094339622641,0.8932457225851402,0.037037037037037035,0.3054493445557056,1.3472753277221472
GREATS,manifold_duplicate_fashion_mnist,4,0.1,0.0,100,100,5000,0,104,2272,2376,,0.46875,0.46875,,,,,2.6251154225319624,0,0,101,0.2403846153846154,0.7403846153846154,0.6932675242424011,0.6932675242424011,1.000000238418579,0.06194182434707012,0.8737864077669902,0.9029126213592233,0.8543689320388349,0.9112061926828116,0.009615384615384616,0.26361942077384715,1.3681902896130764
GREATS,manifold_duplicate_fashion_mnist,4,0.1,0.0,200,200,5000,0,204,1899,2103,,0.406,0.406,,,,,6.05719731003046,0,1,201,0.23529411764705882,0.7647058823529411,0.667149007320404,0.667149007320404,1.0000003576278687,0.03957650168188687,0.9113300492610837,0.9458128078817734,0.896551724137931,0.9054619741929067,0.0196078431372549,0.22935097617416178,1.3853245119129192
MaxLoss,manifold_duplicate_fashion_mnist,4,0.1,0.1,50,50,4500,500,54,2067,2121,0.4984831742476672,0.4505,0.4505,,,,,0.5928970966488123,0,0,51,0.2222222222222222,0.7777777777777778,0.7362914681434631,0.7362914681434631,1.0000003576278687,0.08153952601945626,0.7547169811320755,0.8490566037735849,0.6981132075471698,0.9281829013484897,0.05555555555555555,0.2821964702215006,1.3589017648892496
MaxLoss,manifold_duplicate_fashion_mnist,4,0.1,0.1,100,100,4500,500,104,1968,2072,0.4875328658381477,0.4585,0.4585,,,,,1.305186690762639,0,0,101,0.22115384615384615,0.7788461538461539,0.6851832866668701,0.6851832866668701,1.000000238418579,0.05730900316707139,0.9029126213592233,0.8932038834951457,0.8543689320388349,0.886533724195431,0.009615384615384616,0.2608281025641368,1.3695859487179316
MaxLoss,manifold_duplicate_fashion_mnist,4,0.1,0.1,200,200,4500,500,204,1993,2197,0.5154414543067105,0.47675,0.47675,,,,,3.312461626715958,0,1,201,0.25980392156862747,0.7352941176470589,0.6482149362564087,0.6482149362564087,1.0000003576278687,0.038408850948211594,0.9014778325123153,0.9556650246305419,0.896551724137931,0.9180684743526166,0.0196078431372549,0.2368282891319934,1.3815858554340033
Marginal,manifold_duplicate_fashion_mnist,4,0.1,0.1,50,50,4500,500,54,1908,1962,0.46290267031872645,0.4315,0.4315,,,,,0.6843705233186483,0,0,51,0.1111111111111111,0.8703703703703703,0.6279513835906982,0.6279513835906982,0.9957304000854492,0.040285838531760744,0.9622641509433962,0.9811320754716981,0.9622641509433962,0.8809270204433151,0.018518518518518517,0.22033252123354433,1.3898337393832279
