method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-C,mnist,1,0.3,0.0,1000,0,300,261,561,0.6151636471040547,0.27580000000000005,0.8005602684784052,0.26144000000000006,0.4175679592367127,344.9130637506604,3.3040289729833603,0,297,0.29333333333333333,0.0,0.5688354969024658
Marginal,mnist,1,0.3,0.0,1000,0,300,295,595,0.6485698475153185,0.3208,0.8208790442600666,0.29628000000000004,0.45534012279563013,329.8708340597905,2.613569685956463,0,297,0.27666666666666667,0.0,0.5849673748016357
MaxLoss,mnist,1,0.3,0.2,800,200,300,111,411,0.5741674465825781,0.38160000000000005,0.7795575986123784,0.14334999999999998,0.280131174896148,444.78073852604336,2.199286183807999,0,297,0.4,0.0,0.5825603604316711
PU-R,mnist,1,0.3,0.2,800,200,300,160,460,0.634698505687993,0.24009999999999998,0.7787983063111892,0.199925,0.3480759288074204,332.06630492159655,7.059284188086167,0,297,0.33666666666666667,0.0,0.5672631859779358
PU-C,mnist,1,0.3,0.2,800,200,300,165,465,0.6408215793780982,0.27580000000000005,0.792392640844432,0.20897499999999997,0.3585523603360071,344.03446127020214,3.08280024304986,0,297,0.34,0.0,0.5798981785774231
Marginal,mnist,1,0.3,0.2,800,200,300,173,473,0.6505973451421596,0.24180000000000001,0.7994025737441113,0.21737500000000007,0.3681928101239548,344.14656152360175,2.5132391329389066,0,297,0.2966666666666667,0.0,0.5872835516929626
MaxLoss,mnist,1,0.3,0.4,600,400,300,58,358,0.6640631252666935,0.384,0.7849379387288143,0.09745000000000001,0.22087506649952932,426.4679420473164,2.1007313351146877,0,297,0.41,0.0,0.594128429889679
PU-R,mnist,1,0.3,0.4,600,400,300,79,379,0.6978138884296641,0.26780000000000004,0.7905137243411138,0.13448333333333332,0.2690283829499573,366.8743638785565,6.74799420684576,0,297,0.3466666666666667,0.0,0.5928701758384705
PU-C,mnist,1,0.3,0.4,600,400,300,94,394,0.7216822865302674,0.25570000000000004,0.7892616831324114,0.1559333333333333,0.29565323613531097,328.5144928103513,2.8322619979735464,0,297,0.2966666666666667,0.0,0.5715085864067078
Marginal,mnist,1,0.3,0.4,600,400,300,76,376,0.6930158440954983,0.3042,0.7766232810798056,0.12833333333333335,0.2612404455463448,352.1647515674524,2.35867297812365,0,297,0.36333333333333334,0.0,0.5923382043838501
MaxLoss,mnist,1,0.3,0.6,400,600,225,0,225,0.6444156864308752,0.3195,0.7096339839127151,0.0023749999999999826,0.06126763734454605,373.52771922373597,1.5171067360788584,1,222,0.41333333333333333,0.0,0.5757671594619751
