method,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-C,0,0.0,0.2,100,30,2400,600,34,0,34,0.022852967551443726,0.007199999999999984,0.09556845802580938,1,0,31,0.0,0.08823529411764706,0.888832688331604
PU-C,0,0.0,0.2,200,30,2400,600,34,0,34,0.022852967551443726,0.007199999999999984,0.09772691602120176,1,0,31,0.0,0.08823529411764706,0.888832688331604
PU-F,0,0.0,0.2,50,23,2400,600,27,0,27,0.019091045192908496,0.0047000000000000375,0.09122679196298122,1,0,24,0.0,0.07407407407407407,0.8547935485839844
PU-F,0,0.0,0.2,100,23,2400,600,27,0,27,0.019091045192908496,0.0047000000000000375,0.09311124996747822,1,0,24,0.0,0.07407407407407407,0.8547935485839844
PU-F,0,0.0,0.2,200,23,2400,600,27,0,27,0.019091045192908496,0.0047000000000000375,0.09534208400873467,1,0,24,0.0,0.07407407407407407,0.8547935485839844
PU-G,0,0.0,0.2,50,34,2400,600,38,0,38,0.02496518089901656,0.007099999999999995,0.10453416703967378,1,0,35,0.0,0.02631578947368421,0.8617702126502991
PU-G,0,0.0,0.2,100,34,2400,600,38,0,38,0.02496518089901656,0.007099999999999995,0.106751500046812,1,0,35,0.0,0.02631578947368421,0.8617702126502991
PU-G,0,0.0,0.2,200,34,2400,600,38,0,38,0.02496518089901656,0.007099999999999995,0.10886666702572256,1,0,35,0.0,0.02631578947368421,0.8617702126502991
MaxLoss,0,0.0,0.3,50,22,2100,900,26,0,26,0.02118325181072578,0.0049000000000000155,0.1048241660464555,1,0,23,0.0,0.0,0.8298300504684448
MaxLoss,0,0.0,0.3,100,22,2100,900,26,0,26,0.02118325181072578,0.0049000000000000155,0.10692245804239064,1,0,23,0.0,0.0,0.8298300504684448
MaxLoss,0,0.0,0.3,200,22,2100,900,26,0,26,0.02118325181072578,0.0049000000000000155,0.10879129101522267,1,0,23,0.0,0.0,0.8298300504684448
PU-C,0,0.0,0.3,50,22,2100,900,26,0,26,0.02118325181072578,0.0044999999999999485,0.10885916597908363,1,0,23,0.0,0.0,0.841343879699707
PU-C,0,0.0,0.3,100,22,2100,900,26,0,26,0.02118325181072578,0.0044999999999999485,0.11094400001456961,1,0,23,0.0,0.0,0.841343879699707
PU-C,0,0.0,0.3,200,22,2100,900,26,0,26,0.02118325181072578,0.0044999999999999485,0.1129413329763338,1,0,23,0.0,0.0,0.841343879699707
PU-F,0,0.0,0.3,50,31,2100,900,35,0,35,0.02670720242895186,0.0044999999999999485,0.12601054197875783,1,0,32,0.0,0.0,0.8435606360435486
PU-F,0,0.0,0.3,100,31,2100,900,35,0,35,0.02670720242895186,0.0044999999999999485,0.12813500000629574,1,0,32,0.0,0.0,0.8435606360435486
PU-F,0,0.0,0.3,200,31,2100,900,35,0,35,0.02670720242895186,0.0044999999999999485,0.13025924999965355,1,0,32,0.0,0.0,0.8435606360435486
PU-G,0,0.0,0.3,50,27,2100,900,31,0,31,0.02427371428348124,0.0037000000000000366,0.12119299999903888,1,0,28,0.0,0.0,0.7708287239074707
PU-G,0,0.0,0.3,100,27,2100,900,31,0,31,0.02427371428348124,0.0037000000000000366,0.12349779100622982,1,0,28,0.0,0.0,0.7708287239074707
PU-G,0,0.0,0.3,200,27,2100,900,31,0,31,0.02427371428348124,0.0037000000000000366,0.12564491602825,1,0,28,0.0,0.0,0.7708287239074707
MaxLoss,0,0.0,0.4,50,26,1800,1200,30,0,30,0.027582303388044238,0.006199999999999983,0.1341550000361167,1,0,27,0.0,0.0,0.8670575022697449
MaxLoss,0,0.0,0.4,100,26,1800,1200,30,0,30,0.027582303388044238,0.006199999999999983,0.13651787501294166,1,0,27,0.0,0.0,0.8670575022697449
MaxLoss,0,0.0,0.4,200,26,1800,1200,30,0,30,0.027582303388044238,0.006199999999999983,0.13865116698434576,1,0,27,0.0,0.0,0.8670575022697449
PU-C,0,0.0,0.4,50,31,1800,1200,35,0,35,0.03113263612613082,0.00660000000000005,0.14173087500967085,1,0,32,0.0,0.0,0.8417289853096008
PU-C,0,0.0,0.4,100,31,1800,1200,35,0,35,0.03113263612613082,0.00660000000000005,0.14377387502463534,1,0,32,0.0,0.0,0.8417289853096008
PU-C,0,0.0,0.4,200,31,1800,1200,35,0,35,0.03113263612613082,0.00660000000000005,0.14590912504354492,1,0,32,0.0,0.0,0.8417289853096008
PU-F,0,0.0,0.4,50,26,1800,1200,30,0,30,0.027582303388044238,0.005600000000000049,0.14026833302341402,1,0,27,0.0,0.0,0.8359864950180054
PU-F,0,0.0,0.4,100,26,1800,1200,30,0,30,0.027582303388044238,0.005600000000000049,0.14241870801197365,1,0,27,0.0,0.0,0.8359864950180054
PU-F,0,0.0,0.4,200,26,1800,1200,30,0,30,0.027582303388044238,0.005600000000000049,0.14452191605232656,1,0,27,0.0,0.0,0.8359864950180054
PU-G,0,0.0,0.4,50,25,1800,1200,29,0,29,0.026864898565690964,0.0037000000000000366,0.13972670800285414,1,0,26,0.0,0.0,0.7821844220161438
PU-G,0,0.0,0.4,100,25,1800,1200,29,0,29,0.026864898565690964,0.0037000000000000366,0.14159262500470504,1,0,26,0.0,0.0,0.7821844220161438
PU-G,0,0.0,0.4,200,25,1800,1200,29,0,29,0.026864898565690964,0.0037000000000000366,0.14388570800656453,1,0,26,0.0,0.0,0.7821844220161438
MaxLoss,0,0.0,0.5,50,9,1500,1500,13,0,13,0.017839504580479115,0.0040000000000000036,0.13370300002861768,1,0,10,0.0,0.0,0.7394444346427917
MaxLoss,0,0.0,0.5,100,9,1500,1500,13,0,13,0.017839504580479115,0.0040000000000000036,0.1358308750204742,1,0,10,0.0,0.0,0.7394444346427917
MaxLoss,0,0.0,0.5,200,9,1500,1500,13,0,13,0.017839504580479115,0.0040000000000000036,0.13783158402657136,1,0,10,0.0,0.0,0.7394444346427917
PU-C,0,0.0,0.5,50,7,1500,1500,11,0,11,0.015915791620500386,0.0032999999999999696,0.13356658298289403,1,0,8,0.0,0.0,0.6769981980323792
PU-C,0,0.0,0.5,100,7,1500,1500,11,0,11,0.015915791620500386,0.0032999999999999696,0.13564495800528675,1,0,8,0.0,0.0,0.6769981980323792
PU-C,0,0.0,0.5,200,7,1500,1500,11,0,11,0.015915791620500386,0.0032999999999999696,0.13792354200268164,1,0,8,0.0,0.0,0.6769981980323792
PU-F,0,0.0,0.5,50,14,1500,1500,18,0,18,0.022487208247184753,0.006000000000000005,0.1433505000313744,1,0,15,0.0,0.0,0.8039473295211792
PU-F,0,0.0,0.5,100,14,1500,1500,18,0,18,0.022487208247184753,0.006000000000000005,0.1454420000081882,1,0,15,0.0,0.0,0.8039473295211792
PU-F,0,0.0,0.5,200,14,1500,1500,18,0,18,0.022487208247184753,0.006000000000000005,0.14773850003257394,1,0,15,0.0,0.0,0.8039473295211792
PU-G,0,0.0,0.5,50,18,1500,1500,22,0,22,0.02608497691107914,0.0048000000000000265,0.14799654099624604,1,0,19,0.0,0.0,0.7255277037620544
