method,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-G,1,0.0,0.4,1800,1200,38,0,38,0.033237001043744385,0.0049000000000000155,0.1560091670253314,1,35,0.0,0.13157894736842105,0.8561028838157654
MaxLoss,1,0.0,0.5,1500,1500,25,0,25,0.028731088212225586,0.005800000000000027,0.14837587502552196,1,22,0.0,0.12,0.720981776714325
PU-C,1,0.0,0.5,1500,1500,31,0,31,0.03391920035937801,0.006800000000000028,0.16044891701312736,1,28,0.0,0.16129032258064516,0.8645551204681396
PU-F,1,0.0,0.5,1500,1500,33,0,33,0.03562300780322403,0.007099999999999995,0.16633912501856685,1,30,0.0,0.18181818181818182,0.8425057530403137
PU-G,1,0.0,0.5,1500,1500,29,0,29,0.03220343025168404,0.006399999999999961,0.16218220797600225,1,26,0.0,0.2413793103448276,0.8324815630912781
MaxLoss,1,0.0,0.6,1200,1800,25,0,25,0.03585972939617932,0.0050000000000000044,0.1777211669832468,1,22,0.0,0.32,0.8371487259864807
PU-C,1,0.0,0.6,1200,1800,22,0,22,0.03255960560636595,0.007299999999999973,0.18292441696394235,1,19,0.0,0.3181818181818182,0.6996190547943115
PU-F,1,0.0,0.6,1200,1800,22,0,22,0.03255960560636595,0.008900000000000019,0.1822793330065906,1,19,0.0,0.3181818181818182,0.8211804628372192
PU-G,1,0.0,0.6,1200,1800,22,0,22,0.03255960560636595,0.008600000000000052,0.18250250001437962,1,19,0.0,0.22727272727272727,0.7737115621566772
MaxLoss,1,0.0,0.7,900,2100,16,0,16,0.034303702879697084,0.006199999999999983,0.19243329198798165,1,13,0.0,0.1875,0.7061747312545776
PU-C,1,0.0,0.7,900,2100,18,0,18,0.03734689118573442,0.010299999999999976,0.19787762500345707,1,15,0.0,0.16666666666666666,0.7138960957527161
PU-F,1,0.0,0.7,900,2100,16,0,16,0.034303702879697084,0.007199999999999984,0.1972066669841297,1,13,0.0,0.1875,0.6453818678855896
PU-G,1,0.0,0.7,900,2100,21,0,21,0.041832362359855324,0.005800000000000027,0.20401416695676744,1,18,0.0,0.14285714285714285,0.7732540965080261
MaxLoss,1,0.0,0.8,600,2400,10,0,10,0.037101879774127156,0.0043999999999999595,0.20939479098888114,1,7,0.0,0.1,0.6800891160964966
PU-C,1,0.0,0.8,600,2400,15,0,15,0.04894368466921151,0.008399999999999963,0.2158227500040084,1,12,0.0,0.13333333333333333,0.766884446144104
PU-F,1,0.0,0.8,600,2400,8,0,8,0.03213391738245264,0.0027000000000000357,0.2101186250220053,1,5,0.0,0.125,0.6295152306556702
PU-G,1,0.0,0.8,600,2400,13,0,13,0.044287452939897776,0.0049000000000000155,0.21964679198572412,1,10,0.0,0.07692307692307693,0.722809374332428
MaxLoss,1,0.4,0.0,3000,0,508,0,508,0.19343678752193227,0.012499999999999956,0.807775541965384,1,505,0.3031496062992126,0.44291338582677164,0.4003150761127472
PU-C,1,0.4,0.0,3000,0,530,0,530,0.2011931817396544,0.00990000000000002,3.1376587499980815,1,527,0.28867924528301886,0.44150943396226416,0.4683622419834137
PU-F,1,0.4,0.0,3000,0,577,0,577,0.21771349920891225,0.024499999999999966,6.667352208984084,1,574,0.2772963604852686,0.42114384748700173,0.8533671498298645
PU-G,1,0.4,0.0,3000,0,600,34,634,0.2376643437310122,0.04190000000000005,7.00706779200118,0,597,0.26666666666666666,0.4,0.3826788067817688
MaxLoss,1,0.4,0.1,2700,300,499,0,499,0.21107996569480747,0.011700000000000044,0.9586422080174088,1,496,0.2965931863727455,0.44889779559118237,0.3378119170665741
PU-C,1,0.4,0.1,2700,300,575,0,575,0.24072597094345838,0.007600000000000051,3.3825341669726186,1,572,0.2573913043478261,0.40695652173913044,0.5336578488349915
PU-F,1,0.4,0.1,2700,300,538,0,538,0.22631886368617415,0.012700000000000045,4.899785290996078,1,535,0.26022304832713755,0.4368029739776952,0.46027740836143494
PU-G,1,0.4,0.1,2700,300,595,0,595,0.24849442986305803,0.010499999999999954,6.628623083001003,1,592,0.23865546218487396,0.4134453781512605,0.7741708159446716
MaxLoss,1,0.4,0.2,2400,600,429,0,429,0.20616427244385704,0.016199999999999992,0.7958929159794934,1,426,0.27972027972027974,0.4358974358974359,0.4713113605976105
PU-C,1,0.4,0.2,2400,600,473,0,473,0.22558168601244688,0.00880000000000003,2.6077659580041654,1,470,0.25792811839323465,0.42071881606765327,0.37320196628570557
PU-F,1,0.4,0.2,2400,600,435,0,435,0.20881797990296036,0.021199999999999997,3.6627924159984104,1,432,0.2620689655172414,0.42758620689655175,0.3570444881916046
PU-G,1,0.4,0.2,2400,600,548,0,548,0.25846835447009653,0.009800000000000031,5.403503375011496,1,545,0.22445255474452555,0.3759124087591241,0.477161169052124
MaxLoss,1,0.4,0.3,2100,900,434,0,434,0.23759997606975958,0.015700000000000047,0.8129882499924861,1,431,0.2764976958525346,0.4078341013824885,0.20611456036567688
PU-C,1,0.4,0.3,2100,900,431,0,431,0.23608950397465378,0.018299999999999983,2.3432652500341646,1,428,0.27842227378190254,0.41067285382830626,0.6345010995864868
PU-F,1,0.4,0.3,2100,900,436,0,436,0.23860663844970986,0.022499999999999964,3.1456483749789186,1,433,0.2706422018348624,0.4243119266055046,0.40996819734573364
PU-G,1,0.4,0.3,2100,900,413,0,413,0.22701438126387075,0.020199999999999996,2.4570933749782853,1,410,0.29055690072639223,0.46246973365617433,0.5079841017723083
MaxLoss,1,0.4,0.4,1800,1200,310,0,310,0.20322154753375798,0.028800000000000048,0.5885888339835219,1,307,0.27741935483870966,0.4129032258064516,0.38501718640327454
PU-C,1,0.4,0.4,1800,1200,344,0,344,0.2234174768673256,0.013900000000000023,1.451234917039983,1,341,0.26744186046511625,0.39244186046511625,0.4841499328613281
PU-F,1,0.4,0.4,1800,1200,303,0,303,0.19904772489098832,0.01319999999999999,1.8159130840213038,1,300,0.27722772277227725,0.40594059405940597,0.45009416341781616
PU-G,1,0.4,0.4,1800,1200,352,0,352,0.22815192653797567,0.031399999999999983,2.165980625024531,1,349,0.25,0.3806818181818182,0.4143375754356384
MaxLoss,1,0.4,0.5,1500,1500,294,0,294,0.23160282074240968,0.04500000000000004,0.5838573329965584,1,291,0.2789115646258503,0.3877551020408163,0.5089119672775269
PU-C,1,0.4,0.5,1500,1500,285,0,285,0.2251785016269423,0.022199999999999998,1.1251305000041611,1,282,0.26666666666666666,0.3824561403508772,0.42863667011260986
PU-F,1,0.4,0.5,1500,1500,272,0,272,0.2158759519807063,0.026699999999999946,1.4509991250233725,1,269,0.2426470588235294,0.38235294117647056,0.4087491035461426
PU-G,1,0.4,0.5,1500,1500,323,0,323,0.2522202433901839,0.03280000000000005,1.9458404590259306,1,320,0.23529411764705882,0.3931888544891641,0.6968109011650085
MaxLoss,1,0.4,0.6,1200,1800,228,0,228,0.22916585637722164,0.026900000000000035,0.5062506659887731,1,225,0.2631578947368421,0.3991228070175439,0.5281310081481934
PU-C,1,0.4,0.6,1200,1800,222,0,222,0.2237659049569629,0.023399999999999976,0.7859338749549352,1,219,0.26576576576576577,0.4099099099099099,0.5906432271003723
PU-F,1,0.4,0.6,1200,1800,254,0,254,0.252453961817082,0.030399999999999983,0.8889803339843638,1,251,0.23622047244094488,0.43700787401574803,0.5131278038024902
PU-G,1,0.4,0.6,1200,1800,249,0,249,0.24798900983296335,0.025000000000000022,0.8687882089870982,1,246,0.24096385542168675,0.42168674698795183,0.40108031034469604
MaxLoss,1,0.4,0.7,900,2100,163,0,163,0.22530872625065967,0.03920000000000001,0.44738558400422335,1,160,0.294478527607362,0.39263803680981596,0.521474301815033
PU-C,1,0.4,0.7,900,2100,167,0,167,0.2301632518065162,0.0464,0.5350565410335548,1,164,0.2994011976047904,0.40718562874251496,0.5463145971298218
PU-F,1,0.4,0.7,900,2100,171,0,171,0.23500855593010783,0.03920000000000001,0.6300545840058476,1,168,0.27485380116959063,0.38596491228070173,0.5090134143829346
