method,noise_rate,pretrain_fraction,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,train_calls_mean,train_calls_se
PU-G,0.0,0.5,10,22.3,2.812867259971971,0.0,0.0,22.3,2.812867259971971,0.02618152103968896,0.002494278370974466,0.004470000000000018,0.0006920260110718359,0.15370387890725395,0.0035759299101369157,1.0,0.0,19.3,2.812867259971971
PU-G,0.0,0.6,10,16.9,2.208317610006918,0.0,0.0,16.9,2.208317610006918,0.026588276628172026,0.002581916981705736,0.004600000000000004,0.0007733045971672486,0.17639658340485767,0.0025253696038753013,1.0,0.0,13.9,2.208317610006918
PU-G,0.0,0.7,10,14.1,1.2333333333333334,0.0,0.0,14.1,1.2333333333333334,0.03125895423581824,0.0019303303949933226,0.005200000000000005,0.0007331818025261874,0.1946908208890818,0.0018003904483508168,1.0,0.0,11.1,1.2333333333333334
PU-G,0.0,0.8,10,8.6,1.0561986345169907,0.0,0.0,8.6,1.0561986345169907,0.0334200692246668,0.002630660083301821,0.0035499999999999863,0.0006792561290771615,0.20944810850196519,0.001713005113064224,1.0,0.0,5.6,1.0561986345169907
PU-G,0.4,0.0,10,531.4,18.9796382122175,3.4,3.4,534.8,20.581977013342957,0.20282383824232966,0.007247122994994465,0.02533000000000001,0.002259599276174626,5.461676616501063,0.2809101425459458,0.9,0.09999999999999999,528.4,18.9796382122175
PU-G,0.4,0.1,10,499.7,12.209331586036058,0.0,0.0,499.7,12.209331586036058,0.21132893391186372,0.004767541011017434,0.018720000000000004,0.002701801867889897,4.941054921015166,0.21978577721935164,1.0,0.0,496.7,12.209331586036058
PU-G,0.4,0.2,10,464.3,11.249740737753323,0.0,0.0,464.3,11.249740737753323,0.22172283005784266,0.00494594745547427,0.017799999999999983,0.0016024980499208105,3.9666624127014076,0.22362065820948557,1.0,0.0,461.3,11.249740737753323
PU-G,0.4,0.3,10,369.4,7.251360025693264,0.0,0.0,369.4,7.251360025693264,0.20492190995137208,0.0036830483411345394,0.018949999999999988,0.0021022871143378864,2.283743387594586,0.11829147268675237,1.0,0.0,366.4,7.251360025693264
PU-G,0.4,0.4,10,331.1,7.160772770215981,0.0,0.0,331.1,7.160772770215981,0.21574473383952864,0.004254158940677267,0.01814,0.0020448417488348044,1.911438541597454,0.08234022246509726,1.0,0.0,328.1,7.160772770215981
PU-G,0.4,0.5,10,285.7,9.018561107207981,0.0,0.0,285.7,9.018561107207981,0.22561985797947273,0.006446094347259501,0.026190000000000012,0.002039577843029727,1.23407977920142,0.102731547246092,1.0,0.0,282.7,9.018561107207981
PU-G,0.4,0.6,10,228.6,8.469815687355764,0.0,0.0,228.6,8.469815687355764,0.2296143143903464,0.00762758415562093,0.024390000000000012,0.00219602924489736,0.8258553374093026,0.03840933728583325,1.0,0.0,225.6,8.469815687355764
PU-G,0.4,0.7,10,180.0,7.484799410954325,0.0,0.0,180.0,7.484799410954325,0.24573672143742442,0.00907024549467393,0.028579999999999994,0.004485849355968659,0.6233936667034868,0.029825486129025275,1.0,0.0,177.0,7.484799410954325
PU-G,0.4,0.8,10,106.0,4.671426144361294,0.0,0.0,106.0,4.671426144361294,0.2298845178214833,0.00861774374215294,0.03841,0.004353349923398708,0.3496553874923848,0.008942815850288896,1.0,0.0,103.0,4.671426144361294
