method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
Marginal,boundary_duplicate_mnist,1,0.3,0.3,3500,1500,800,1256,2056,0.6177289221668616,0.4328281530952992,0.43282815309529926,,,,,53.34028950612992,0,797,0.29625,0.82625,0.5757719874382019,0.5757719874382019,0.9999842643737793,0.006313969076929314,0.9924906132665833,0.9974968710888611,0.9912390488110138,0.666211714568285,0.17375,0.16228895152244874,1.4188555242387757
PU-R,boundary_duplicate_mnist,1,0.3,0.3,3500,1500,800,1293,2093,0.6281957846367732,0.3948111995890059,0.3948111995890059,,,,,107.57951421383768,0,797,0.2975,0.7525,0.5692817568778992,0.5692817568778992,0.9959615468978882,0.0070632917594365095,0.9987484355444305,0.9974968710888611,0.9974968710888611,0.8072916195433456,0.2475,0.15765399774984495,1.4211730011250774
GREATS,boundary_duplicate_mnist,1,0.3,0.3,3500,1500,800,1050,1850,,0.45594657076804523,0.45594657076804523,,,,,62.242756366729736,0,797,0.31875,0.86,0.6046248078346252,0.6046248078346252,0.9999986886978149,0.005736886231678635,0.9974968710888611,0.9974968710888611,0.9974968710888611,0.584238811642856,0.14,0.14808366146076316,1.4259581692696184
MaxLoss,boundary_duplicate_mnist,1,0.3,0.4,3000,2000,800,836,1636,0.5781595789012499,0.44335987670177246,0.4433598767017724,,,,,49.9268362140283,0,797,0.355,0.82625,0.6055995225906372,0.6055995225906372,0.9999997615814209,0.005884263355597313,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.666211714568285,0.17375,0.15426819930230343,1.4228659003488482
Marginal,boundary_duplicate_mnist,1,0.3,0.4,3000,2000,800,1012,1812,0.636340552708134,0.3788851785255587,0.3788851785255587,,,,,52.42870541848242,0,797,0.30125,0.80375,0.5806338787078857,0.5806338787078857,0.9999641180038452,0.006242029226399773,0.9912390488110138,0.9962453066332916,0.9912390488110138,0.7143643949649052,0.19625,0.16128144726441065,1.4193592763677947
PU-R,boundary_duplicate_mnist,1,0.3,0.4,3000,2000,800,1093,1893,0.6629518232075498,0.4269201130233753,0.4269201130233753,,,,,105.82089784927666,0,797,0.29625,0.8025,0.5580024719238281,0.5580024719238281,0.998272180557251,0.0064833352437828,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.7168998285940986,0.1975,0.15653997051259344,1.4217300147437033
GREATS,boundary_duplicate_mnist,1,0.3,0.4,3000,2000,800,881,1681,,0.4538916003082456,0.45389160030824555,,,,,60.738169758580625,0,797,0.3275,0.83875,0.5973641872406006,0.5973641872406006,0.9999994039535522,0.005557034479381892,0.9974968710888611,0.9974968710888611,0.9974968710888611,0.6372915828248211,0.16125,0.14800353283120266,1.4259982335843988
MaxLoss,boundary_duplicate_mnist,1,0.3,0.5,2500,2500,800,566,1366,0.5820980988210067,0.4353968661700488,0.4353968661700488,,,,,49.864973860792816,0,797,0.34875,0.81,0.5857404470443726,0.5857404470443726,0.9999970197677612,0.006336562286535551,0.9937421777221527,0.9974968710888611,0.9937421777221527,0.7014714598838974,0.19,0.1566075751095604,1.42169621244522
Marginal,boundary_duplicate_mnist,1,0.3,0.5,2500,2500,800,798,1598,0.6737766104051843,0.49858720780888777,0.49858720780888777,,,,,51.74724159296602,0,797,0.28625,0.88875,0.5943376421928406,0.5943376421928406,0.9999974966049194,0.0051669419483189585,0.9987484355444305,0.9974968710888611,0.9974968710888611,0.5036748606054576,0.11125,0.15612111130408893,1.4219394443479556
PU-R,boundary_duplicate_mnist,1,0.3,0.5,2500,2500,800,801,1601,0.674953130132053,0.38941690213203184,0.38941690213203184,,,,,103.13463848177344,0,797,0.30125,0.82125,0.5644831657409668,0.5644831657409668,0.997061014175415,0.006839155330228269,0.9974968710888611,0.9974968710888611,0.9974968710888611,0.6773348619108743,0.17875,0.1558598453624899,1.4220700773187551
