method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,group_revisit_rate,unique_group_fraction,max_group_selection_fraction,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu,dynamic_redundancy_weight
GREATS,manifold_group_noise_fashion_mnist,8,0.1,0.0,support,200,200,5000,0,204,587,791,,0.32799999999999996,0.328,,,,,4.783363712951541,0,1,201,0.0784313725490196,0.4803921568627451,0.6154191493988037,0.6154191493988037,0.9926493167877197,0.024188767219411916,0.9950738916256158,0.9901477832512315,0.9901477832512315,0.27450980392156865,0.7254901960784313,0.03431372549019608,0.965106859840579,0.004901960784313725,0.1892777993048398,0.6324124951564111,1.5458972103823383
MaxLoss,manifold_group_noise_fashion_mnist,9,0.1,0.0,support,100,100,5000,0,104,1802,1906,0.40618102194275707,0.42174999999999996,0.42175,,,,,1.1035967250354588,0,0,101,0.0673076923076923,0.40384615384615385,0.6338769197463989,0.6338769197463989,0.9825331568717957,0.04738049614198,0.970873786407767,0.9611650485436893,0.9514563106796117,0.16346153846153846,0.8365384615384616,0.038461538461538464,0.9806066447245372,0.009615384615384616,0.23786845558443057,0.6214795974935032,1.5191723494285634
MaxLoss,manifold_group_noise_fashion_mnist,9,0.1,0.0,support,200,200,5000,0,204,1179,1383,0.2994005130021833,0.37675000000000003,0.37675,,,,,2.989607493043877,0,1,201,0.0784313725490196,0.45098039215686275,0.6015912890434265,0.6015912890434265,0.9922872185707092,0.02530063752066619,0.9901477832512315,0.9950738916256158,0.9901477832512315,0.2647058823529412,0.7352941176470589,0.03431372549019608,0.9643895562819583,0.004901960784313725,0.1953028657863905,0.6310568551980622,1.5425834238174854
PU-R,manifold_group_noise_fashion_mnist,9,0.1,0.0,support,100,100,5000,0,104,1713,1817,0.388103443197906,0.39925,0.39925,,,,,2.203246432938613,0,0,101,0.08653846153846154,0.46153846153846156,0.623011589050293,0.623011589050293,0.9855719208717346,0.04254820801824042,0.970873786407767,0.970873786407767,0.9611650485436893,0.22115384615384615,0.7788461538461539,0.038461538461538464,0.9760627645866248,0.009615384615384616,0.226868448427555,0.6239545991038001,1.5252223533648448
PU-R,manifold_group_noise_fashion_mnist,9,0.1,0.0,support,200,200,5000,0,204,1010,1214,0.2645834979484789,0.30674999999999997,0.30675,,,,,5.813552842941135,0,1,201,0.06372549019607843,0.4362745098039216,0.5912790298461914,0.5912790298461914,0.9903930425643921,0.024365822220303743,0.9950738916256158,0.9852216748768473,0.9852216748768473,0.2549019607843137,0.7450980392156863,0.024509803921568627,0.9661972537282868,0.004901960784313725,0.1936820550281666,0.6314215376186625,1.5434748697345084
PU-R-Manifold,manifold_group_noise_fashion_mnist,9,0.1,0.0,support,100,100,5000,0,104,1589,1693,0.36285541695542634,0.38549999999999995,0.3855,,,,,2.7600072489585727,0,0,101,0.07692307692307693,0.5096153846153846,0.606261670589447,0.606261670589447,0.9896285533905029,0.04405822447564417,0.9902912621359223,0.9611650485436893,0.9611650485436893,0.21153846153846154,0.7884615384615384,0.057692307692307696,0.9726035767394513,0.009615384615384616,0.23048295283262868,0.6231413356126586,1.5232343759420544
PU-R-Manifold,manifold_group_noise_fashion_mnist,9,0.1,0.0,support,200,200,5000,0,204,1285,1489,0.3211546170641668,0.3405,0.3405,,,,,7.469558312906884,0,1,201,0.049019607843137254,0.4166666666666667,0.583457350730896,0.583457350730896,0.9965502023696899,0.02556086568278834,0.9950738916256158,0.9901477832512315,0.9901477832512315,0.22549019607843138,0.7745098039215687,0.03431372549019608,0.9723202885871264,0.004901960784313725,0.1956447049452951,0.6309799413873086,1.5423954122800878
GREATS,manifold_group_noise_fashion_mnist,9,0.1,0.0,support,100,100,5000,0,104,1577,1681,,0.41274999999999995,0.41275,,,,,2.1884644490201026,0,0,101,0.08653846153846154,0.4807692307692308,0.6588137149810791,0.6588137149810791,0.9824074506759644,0.049143198732901544,0.970873786407767,0.9514563106796117,0.941747572815534,0.18269230769230768,0.8173076923076923,0.038461538461538464,0.9808717023922917,0.009615384615384616,0.23173002756597746,0.622860743797655,1.5225484848387123
GREATS,manifold_group_noise_fashion_mnist,9,0.1,0.0,support,200,200,5000,0,204,1018,1222,,0.35075,0.35075,,,,,5.017805524985306,0,1,201,0.09313725490196079,0.5049019607843137,0.6287369132041931,0.6287369132041931,0.9885344505310059,0.02719450497935558,0.9950738916256158,0.9901477832512315,0.9901477832512315,0.29901960784313725,0.7009803921568627,0.03431372549019608,0.9583645972829097,0.004901960784313725,0.19581770918322464,0.6309410154337745,1.5423002599492266
MaxLoss,manifold_group_noise_fashion_mnist,10,0.1,0.0,support,100,100,5000,0,104,1536,1640,0.3520414576632902,0.39649999999999996,0.3965,,,,,1.098826016066596,0,0,101,0.09615384615384616,0.5096153846153846,0.6539697647094727,0.6539697647094727,0.9882111549377441,0.04914999789404638,0.9514563106796117,0.9514563106796117,0.9320388349514563,0.27884615384615385,0.7211538461538461,0.057692307692307696,0.9624334695782005,0.009615384615384616,0.23878016048972323,0.6212744638898123,1.5186709117306525
MaxLoss,manifold_group_noise_fashion_mnist,10,0.1,0.0,support,200,200,5000,0,204,712,916,0.20272572484100237,0.3415,0.3415,,,,,2.989976081997156,0,1,201,0.0784313725490196,0.45588235294117646,0.6088136434555054,0.6088136434555054,0.9952999353408813,0.025467493667684752,0.9950738916256158,0.9852216748768473,0.9852216748768473,0.30392156862745096,0.696078431372549,0.03431372549019608,0.9562801954659075,0.004901960784313725,0.19577534354320303,0.6309505477027794,1.5423235610512385
PU-R,manifold_group_noise_fashion_mnist,10,0.1,0.0,support,100,100,5000,0,104,1220,1324,0.2872647983604111,0.366,0.366,,,,,2.008944514906034,0,0,101,0.0673076923076923,0.5192307692307693,0.6337069272994995,0.6337069272994995,0.9865518808364868,0.03546437678985225,0.9902912621359223,0.9805825242718447,0.9805825242718447,0.22115384615384615,0.7788461538461539,0.038461538461538464,0.9764641671106623,0.009615384615384616,0.2161333798414123,0.6263699895356822,1.5311266410872233
PU-R,manifold_group_noise_fashion_mnist,10,0.1,0.0,support,200,200,5000,0,204,515,719,0.16142488835612312,0.30474999999999997,0.30475,,,,,5.358568540890701,0,1,201,0.05392156862745098,0.44607843137254904,0.608679473400116,0.608679473400116,0.9937680959701538,0.022224363471780504,0.9950738916256158,0.9950738916256158,0.9950738916256158,0.2549019607843137,0.7450980392156863,0.029411764705882353,0.9706368317633388,0.004901960784313725,0.18769543144219106,0.6327685279255071,1.546767512706795
PU-R-Manifold,manifold_group_noise_fashion_mnist,10,0.1,0.0,support,100,100,5000,0,104,1384,1488,0.3209496745839715,0.37925,0.37925,,,,,2.7081746120238677,0,0,101,0.08653846153846154,0.5096153846153846,0.6132225394248962,0.6132225394248962,0.9897329211235046,0.04191675246919243,0.9611650485436893,0.9611650485436893,0.941747572815534,0.22115384615384615,0.7788461538461539,0.0673076923076923,0.9647080197603761,0.009615384615384616,0.22630168727851876,0.6240821203623332,1.5255340719968147
PU-R-Manifold,manifold_group_noise_fashion_mnist,10,0.1,0.0,support,200,200,5000,0,204,1199,1403,0.30350980546791106,0.348,0.348,,,,,7.3717151399469,0,1,201,0.06862745098039216,0.49019607843137253,0.613919198513031,0.613919198513031,0.9934882521629333,0.023172158376299982,0.9901477832512315,0.9901477832512315,0.9901477832512315,0.30392156862745096,0.696078431372549,0.03431372549019608,0.9593808227049287,0.004901960784313725,0.18634373216083464,0.6330726602638123,1.5475109473115412
GREATS,manifold_group_noise_fashion_mnist,10,0.1,0.0,support,100,100,5000,0,104,1073,1177,,0.39725,0.39725,,,,,2.08331957901828,0,0,101,0.08653846153846154,0.5096153846153846,0.6547616124153137,0.6547616124153137,0.9858086109161377,0.04183339710953166,0.9902912621359223,0.9611650485436893,0.9611650485436893,0.25,0.75,0.04807692307692308,0.9732816643568933,0.009615384615384616,0.22454413993378314,0.6244775685148988,1.5265007230364194
GREATS,manifold_group_noise_fashion_mnist,10,0.1,0.0,support,200,200,5000,0,204,524,728,,0.31499999999999995,0.315,,,,,4.722007111064158,0,1,201,0.06372549019607843,0.47549019607843135,0.6130685210227966,0.6130685210227966,0.9939572215080261,0.025634734060963973,0.9901477832512315,0.9950738916256158,0.9901477832512315,0.29411764705882354,0.7058823529411765,0.029411764705882353,0.9635066724652743,0.004901960784313725,0.19541216465450975,0.6310322629527353,1.5425233094400197
MaxLoss,manifold_group_noise_fashion_mnist,11,0.1,0.0,support,100,100,5000,0,104,1475,1579,0.3395780044957064,0.42574999999999996,0.42575,,,,,1.0986658189212903,0,0,101,0.0673076923076923,0.46153846153846156,0.6468851566314697,0.6468851566314697,0.987291693687439,0.04564917779265387,0.9514563106796117,0.9902912621359223,0.9514563106796117,0.25961538461538464,0.7403846153846154,0.057692307692307696,0.9583596848749132,0.009615384615384616,0.22866095472727396,0.6235512851863634,1.5242364748999995
MaxLoss,manifold_group_noise_fashion_mnist,11,0.1,0.0,support,200,200,5000,0,204,1314,1518,0.32709564827382565,0.39225,0.39225,,,,,2.984929744969122,0,1,201,0.09313725490196079,0.45098039215686275,0.6039419174194336,0.6039419174194336,0.9923669099807739,0.024209530785533007,0.9901477832512315,0.9901477832512315,0.9852216748768473,0.28921568627450983,0.7107843137254902,0.03431372549019608,0.9550158816737966,0.004901960784313725,0.19229409838028372,0.6317338278644361,1.544238245890844
