method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
MaxLoss,boundary_duplicate_mnist,2,0.3,0.8,100,100,1000,4000,104,439,543,0.5973699957830831,0.4389930644746982,0.43899306447469816,,,,,0.8443935820832849,0,1,101,0.23076923076923078,0.7596153846153846,0.606082558631897,0.606082558631897,0.9996678829193115,0.07156643500207986,0.8058252427184466,0.883495145631068,0.7572815533980582,0.7956792965030225,0.2403846153846154,0.28445013373556005,1.35777493313222
Marginal,boundary_duplicate_mnist,2,0.3,0.8,100,100,1000,4000,104,415,519,0.5735312176402658,0.4217826868738762,0.4217826868738762,,,,,0.943211805075407,0,1,101,0.2403846153846154,0.625,0.6191301345825195,0.6191301345825195,0.9950872659683228,0.029970498845993895,0.9902912621359223,0.9805825242718447,0.9805825242718447,0.954434002924965,0.375,0.19855292692469723,1.4007235365376514
PU-R,boundary_duplicate_mnist,2,0.3,0.8,100,100,1000,4000,104,465,569,0.6230481379316188,0.5227331107115335,0.5227331107115335,,,,,1.3172567272558808,0,1,101,0.3076923076923077,0.7596153846153846,0.6392247080802917,0.6392247080802917,0.9888217449188232,0.04732053114318298,0.9902912621359223,0.9611650485436893,0.9611650485436893,0.7956792965030225,0.2403846153846154,0.22533315482085228,1.387333422589574
GREATS,boundary_duplicate_mnist,2,0.3,0.8,100,100,1000,4000,104,439,543,,0.38813254559465704,0.3881325455946571,,,,,1.2163323992863297,0,1,101,0.28846153846153844,0.8653846153846154,0.6589231491088867,0.6589231491088867,0.9995903372764587,0.0522915107894291,0.941747572815534,0.9514563106796117,0.912621359223301,0.56996137604035,0.1346153846153846,0.24104209727967016,1.3794789513601649
MaxLoss,boundary_duplicate_mnist,3,0.3,0.0,100,100,5000,0,104,2431,2535,0.5329597571399063,0.42024145902902643,0.42024145902902643,,,,,1.1256069084629416,0,1,101,0.3076923076923077,0.8076923076923077,0.7063400745391846,0.7063400745391846,0.9994391202926636,0.05919368463812522,0.8446601941747572,0.9029126213592233,0.8349514563106796,0.7062740891876007,0.19230769230769232,0.2563925692793856,1.3718037153603073
Marginal,boundary_duplicate_mnist,3,0.3,0.0,100,100,5000,0,104,2494,2598,0.5455656243138947,0.5204212689442589,0.5204212689442589,,,,,1.5858430890366435,0,1,101,0.3173076923076923,0.9230769230769231,0.6181670427322388,0.6181670427322388,0.9955204725265503,0.02861309041906582,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.3912435636292556,0.07692307692307693,0.19800431260471624,1.4009978436976418
PU-R,boundary_duplicate_mnist,3,0.3,0.0,100,100,5000,0,104,2498,2602,0.546365432208404,0.4916516825070639,0.491651682507064,,,,,2.441172760911286,0,1,101,0.33653846153846156,0.6730769230769231,0.585137128829956,0.585137128829956,0.9886963367462158,0.04986265793587397,0.970873786407767,0.9611650485436893,0.9611650485436893,0.9117517586347538,0.3269230769230769,0.24201956198134117,1.3789902190093293
GREATS,boundary_duplicate_mnist,3,0.3,0.0,100,100,5000,0,104,2391,2495,,0.5417415874646803,0.5417415874646802,,,,,2.5194485634565353,0,1,101,0.41346153846153844,0.7980769230769231,0.678075909614563,0.678075909614563,0.9999380111694336,0.055941631203716244,0.8446601941747572,0.883495145631068,0.8155339805825242,0.7257576154473544,0.20192307692307693,0.2546838412682611,1.3726580793658694
MaxLoss,boundary_duplicate_mnist,3,0.3,0.1,100,100,4500,500,104,2176,2280,0.5339257822488435,0.44978165938864634,0.4497816593886463,,,,,1.136617504991591,0,1,101,0.28846153846153844,0.7115384615384616,0.677193284034729,0.677193284034729,0.9999992847442627,0.0636991610732472,0.8252427184466019,0.8640776699029126,0.7864077669902912,0.8667256130949591,0.28846153846153844,0.26675321111450523,1.3666233944427475
Marginal,boundary_duplicate_mnist,3,0.3,0.1,100,100,4500,500,104,2254,2358,0.5512623657123186,0.5468790136141792,0.5468790136141793,,,,,1.5400164416059852,0,1,101,0.3173076923076923,0.9230769230769231,0.6291329860687256,0.6291329860687256,0.9997270107269287,0.03070529564328998,0.970873786407767,0.9805825242718447,0.970873786407767,0.3912435636292556,0.07692307692307693,0.19570485012300304,1.4021475749384984
PU-R,boundary_duplicate_mnist,3,0.3,0.1,100,100,4500,500,104,2207,2311,0.5408199425437488,0.40508605188800406,0.4050860518880041,,,,,2.325827074237168,0,1,101,0.2980769230769231,0.6153846153846154,0.5896190404891968,0.5896190404891968,0.9840335845947266,0.04927382726692459,0.9514563106796117,0.9514563106796117,0.941747572815534,0.961236604722876,0.38461538461538464,0.23799617640674858,1.3810019117966257
GREATS,boundary_duplicate_mnist,3,0.3,0.1,100,100,4500,500,104,2210,2314,,0.5206781402517339,0.5206781402517339,,,,,2.4198188548907638,0,1,101,0.33653846153846156,0.7692307692307693,0.6750879287719727,0.6750879287719727,0.9998992681503296,0.06350787009284334,0.7572815533980582,0.8737864077669902,0.7281553398058253,0.7793498372920851,0.23076923076923078,0.2619428295640329,1.3690285852179835
MaxLoss,boundary_duplicate_mnist,3,0.3,0.2,100,100,4000,1000,104,1885,1989,0.5260226866230369,0.4957616234266632,0.49576162342666324,,,,,1.0839667646214366,0,1,101,0.3942307692307692,0.8076923076923077,0.6764747500419617,0.6764747500419617,0.9999699592590332,0.05999294473129569,0.7864077669902912,0.8932038834951457,0.7669902912621359,0.7062740891876007,0.19230769230769232,0.2658541514106833,1.3670729242946584
Marginal,boundary_duplicate_mnist,3,0.3,0.2,100,100,4000,1000,104,1982,2086,0.5502920165890828,0.35371179039301315,0.3537117903930131,,,,,1.409475663676858,0,1,101,0.3269230769230769,0.8076923076923077,0.6043704748153687,0.6043704748153687,0.9973181486129761,0.028220705905006926,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.7062740891876007,0.19230769230769232,0.20367418282344757,1.3981629085882763
PU-R,boundary_duplicate_mnist,3,0.3,0.2,100,100,4000,1000,104,1939,2043,0.5395419171545655,0.4695607500642178,0.4695607500642178,,,,,2.088055203668773,0,1,101,0.36538461538461536,0.7019230769230769,0.616910994052887,0.616910994052887,0.9990784525871277,0.04841344188717962,0.941747572815534,0.9805825242718447,0.941747572815534,0.8789274256388384,0.2980769230769231,0.24211648196226418,1.378941759018868
GREATS,boundary_duplicate_mnist,3,0.3,0.2,100,100,4000,1000,104,1928,2032,,0.4562034420755202,0.45620344207552016,,,,,2.108716639690101,0,1,101,0.34615384615384615,0.7980769230769231,0.6662901043891907,0.6662901043891907,0.9999675750732422,0.052713632583618164,0.8640776699029126,0.9223300970873787,0.8543689320388349,0.7257576154473544,0.20192307692307693,0.25198206846319327,1.3740089657684034
MaxLoss,boundary_duplicate_mnist,3,0.3,0.3,100,100,3500,1500,104,1657,1761,0.5337630845606327,0.45800154122784487,0.45800154122784487,,,,,1.015226704068482,0,1,101,0.3173076923076923,0.8461538461538461,0.6880114674568176,0.6880114674568176,0.998196005821228,0.0675160879070319,0.6699029126213593,0.8446601941747572,0.6310679611650486,0.6193821946787638,0.15384615384615385,0.2769634245524077,1.3615182877237961
Marginal,boundary_duplicate_mnist,3,0.3,0.3,100,100,3500,1500,104,1642,1746,0.5294698153156787,0.46930387875674284,0.4693038787567429,,,,,1.2525720484554768,0,1,101,0.27884615384615385,0.5865384615384616,0.5795992016792297,0.5795992016792297,0.9973520040512085,0.02990579926996555,0.9805825242718447,0.9902912621359223,0.9805825242718447,0.9782823907994933,0.41346153846153844,0.20473536164529346,1.3976323191773532
PU-R,boundary_duplicate_mnist,3,0.3,0.3,100,100,3500,1500,104,1688,1792,0.5426286198780872,0.44592858977652194,0.44592858977652194,,,,,1.85983048658818,0,1,101,0.38461538461538464,0.6923076923076923,0.6188522577285767,0.6188522577285767,0.9957054853439331,0.048905012966359705,0.9320388349514563,0.970873786407767,0.9320388349514563,0.8904916402194913,0.3076923076923077,0.24194682066091328,1.3790265896695435
GREATS,boundary_duplicate_mnist,3,0.3,0.3,100,100,3500,1500,104,1662,1766,,0.5119445157975855,0.5119445157975854,,,,,1.8734479639679193,0,1,101,0.23076923076923078,0.7788461538461539,0.6908543705940247,0.6908543705940247,0.9999285936355591,0.06164660557959844,0.7766990291262136,0.883495145631068,0.7669902912621359,0.7622688025356509,0.22115384615384615,0.2640013524639336,1.3679993237680332
MaxLoss,boundary_duplicate_mnist,3,0.3,0.4,100,100,3000,2000,104,1441,1545,0.5478923468617722,0.4708451066015926,0.4708451066015926,,,,,0.9752786261960864,0,1,101,0.3269230769230769,0.8173076923076923,0.6818374991416931,0.6818374991416931,0.9999547004699707,0.06426047779692029,0.8058252427184466,0.8932038834951457,0.7864077669902912,0.6859315226878925,0.18269230769230768,0.2678426280637781,1.3660786859681109
Marginal,boundary_duplicate_mnist,3,0.3,0.4,100,100,3000,2000,104,1457,1561,0.5532230154494755,0.4734138196763421,0.47341381967634216,,,,,1.1978826494887471,0,1,101,0.3557692307692308,0.6346153846153846,0.5995713472366333,0.5995713472366333,0.9952259063720703,0.031822784977583035,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.9470622432515329,0.36538461538461536,0.20612654581531922,1.3969367270923403
PU-R,boundary_duplicate_mnist,3,0.3,0.4,100,100,3000,2000,104,1432,1536,0.5448921742499806,0.5073208322630363,0.5073208322630363,,,,,1.774037105962634,0,1,101,0.28846153846153844,0.6826923076923077,0.5764553546905518,0.5764553546905518,0.985515296459198,0.04456012081174017,0.9902912621359223,0.9805825242718447,0.9805825242718447,0.9014296082981941,0.3173076923076923,0.23134006324654866,1.3843299683767256
GREATS,boundary_duplicate_mnist,3,0.3,0.4,100,100,3000,2000,104,1440,1544,,0.4836886719753404,0.4836886719753404,,,,,1.7845383370295167,0,1,101,0.375,0.875,0.6620562076568604,0.6620562076568604,0.9999956488609314,0.05599568017478128,0.883495145631068,0.9514563106796117,0.8640776699029126,0.5435644431995964,0.125,0.2514122785647532,1.3742938607176234
MaxLoss,boundary_duplicate_mnist,3,0.3,0.5,100,100,2500,2500,104,1180,1284,0.5493830114137381,0.4883123555098895,0.48831235550988955,,,,,0.9538289243355393,0,1,101,0.28846153846153844,0.7980769230769231,0.6729429960250854,0.6729429960250854,0.9999988675117493,0.05942651152032093,0.8543689320388349,0.9223300970873787,0.8252427184466019,0.7257576154473544,0.20192307692307693,0.25858878777444255,1.3707056061127787
Marginal,boundary_duplicate_mnist,3,0.3,0.5,100,100,2500,2500,104,1175,1279,0.5473831043345854,0.38427947598253276,0.38427947598253276,,,,,1.1555328080430627,0,1,101,0.2980769230769231,0.8557692307692307,0.6063337922096252,0.6063337922096252,0.9970700740814209,0.029132909422912138,0.9805825242718447,0.9902912621359223,0.9805825242718447,0.5952124653513117,0.14423076923076922,0.20111817500028165,1.3994409124998592
PU-R,boundary_duplicate_mnist,3,0.3,0.5,100,100,2500,2500,104,1218,1322,0.5645632565720007,0.47290007706139225,0.47290007706139225,,,,,1.6893788985908031,0,1,101,0.34615384615384615,0.6538461538461539,0.573215663433075,0.573215663433075,0.9970914125442505,0.050488210712713234,0.9805825242718447,0.970873786407767,0.970873786407767,0.930586129131993,0.34615384615384615,0.24097982824531655,1.3795100858773417
GREATS,boundary_duplicate_mnist,3,0.3,0.5,100,100,2500,2500,104,1174,1278,,0.48420241459029023,0.4842024145902903,,,,,1.6684003695845604,0,1,101,0.3557692307692308,0.8942307692307693,0.6637002229690552,0.6637002229690552,0.9999276399612427,0.05868787358252747,0.8446601941747572,0.9223300970873787,0.8155339805825242,0.48702128315977306,0.10576923076923077,0.2550501146071836,1.3724749426964082
MaxLoss,boundary_duplicate_mnist,3,0.3,0.6,100,100,2000,3000,104,925,1029,0.5541626635240391,0.48625738505008986,0.4862573850500899,,,,,0.9117517927661538,0,1,101,0.40384615384615385,0.7980769230769231,0.6455613970756531,0.6455613970756531,0.9984865188598633,0.061904767003742235,0.8640776699029126,0.9320388349514563,0.8543689320388349,0.7257576154473544,0.20192307692307693,0.2621990925644395,1.3689004537177802
Marginal,boundary_duplicate_mnist,3,0.3,0.6,100,100,2000,3000,104,984,1088,0.5835707559599541,0.4898535833547393,0.4898535833547393,,,,,1.0645753340795636,0,1,101,0.2692307692307692,0.8557692307692307,0.6033051013946533,0.6033051013946533,0.9986239671707153,0.029425492033800925,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.5952124653513117,0.14423076923076922,0.201373270135452,1.399313364932274
PU-R,boundary_duplicate_mnist,3,0.3,0.6,100,100,2000,3000,104,940,1044,0.5616526897065341,0.36938094014898537,0.36938094014898537,,,,,1.5301010934635997,0,1,101,0.33653846153846156,0.625,0.5721276998519897,0.5721276998519897,0.9997715950012207,0.0510607454790146,0.9514563106796117,0.9514563106796117,0.941747572815534,0.954434002924965,0.375,0.24334684723915617,1.378326576380422
GREATS,boundary_duplicate_mnist,3,0.3,0.6,100,100,2000,3000,104,906,1010,,0.48137683020806576,0.48137683020806576,,,,,1.491963217034936,0,1,101,0.3557692307692308,0.7788461538461539,0.6833534240722656,0.6833534240722656,0.9999338984489441,0.05571006462701316,0.9320388349514563,0.9514563106796117,0.912621359223301,0.7622688025356509,0.22115384615384615,0.2466082969997394,1.3766958515001302
MaxLoss,boundary_duplicate_mnist,3,0.3,0.7,100,100,1500,3500,104,682,786,0.5692586757359095,0.5335217056254816,0.5335217056254816,,,,,0.8884054170921445,0,1,101,0.33653846153846156,0.8653846153846154,0.6534749269485474,0.6534749269485474,0.9997186660766602,0.05462096117943236,0.912621359223301,0.9514563106796117,0.9029126213592233,0.56996137604035,0.1346153846153846,0.250581939215479,1.3747090303922604
Marginal,boundary_duplicate_mnist,3,0.3,0.7,100,100,1500,3500,104,656,760,0.5519531238824129,0.5355766760852813,0.5355766760852813,,,,,1.0070757139474154,0,1,101,0.38461538461538464,0.8942307692307693,0.6148058772087097,0.6148058772087097,0.9953296184539795,0.026632731111304275,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.48702128315977306,0.10576923076923077,0.2043507746394249,1.3978246126802876
