method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
PU-R,mnist,0,0.3,0.7,support,1500,3500,755,0,755,0.5486187786445953,0.28,0.28,,,,,85.43939954496454,1,752,0.46225165562913906,0.0,0.6148386597633362,0.6148386597633362,0.9862414598464966,0.011485494337284281,0.9986737400530504,0.9960212201591512,0.9960212201591512,0.0,0.0,0.17463268893933645,1.4126836555303317
GREATS,mnist,0,0.3,0.7,support,1500,3500,800,152,952,,0.2548,0.2548,,,,,56.94267727993429,0,797,0.35125,0.0,0.5953872799873352,0.5953872799873352,0.9911677837371826,0.010320310076425908,0.9974968710888611,0.9949937421777222,0.9937421777221527,0.0,0.0,0.17406608434239113,1.4129669578288044
MaxLoss,mnist,0,0.3,0.8,support,1000,4000,491,0,491,0.5455567055032589,0.2774,0.2774,,,,,18.832322195055895,1,488,0.5621181262729125,0.0,0.6972472667694092,0.6972472667694092,0.978523313999176,0.023973925867859198,0.9938775510204082,0.9857142857142858,0.9836734693877551,0.0,0.0,0.1978196968520865,1.4010901515739569
Marginal,mnist,0,0.3,0.8,support,1000,4000,722,0,722,0.770763925742358,0.2629,0.2629,,,,,44.02418470091652,1,719,0.44321329639889195,0.0,0.6146517395973206,0.6146517395973206,0.9923045635223389,0.011721695097739421,0.9930651872399445,0.9958391123439667,0.9916782246879334,0.0,0.0,0.1785917286070022,1.4107041356964989
PU-R,mnist,0,0.3,0.8,support,1000,4000,489,0,489,0.5435518600861542,0.26160000000000005,0.2616,,,,,31.003032356966287,1,486,0.5685071574642127,0.0,0.6997208595275879,0.6997208595275879,0.976730227470398,0.024642103641736704,0.9877049180327869,0.9877049180327869,0.9815573770491803,0.0,0.0,0.19837278250098714,1.4008136087495064
GREATS,mnist,0,0.3,0.8,support,1000,4000,702,0,702,,0.2712,0.2712,,,,,43.576895438018255,1,699,0.4586894586894587,0.0,0.6247105598449707,0.6247105598449707,0.9911787509918213,0.012436812214776554,0.9971469329529244,0.9971469329529244,0.9971469329529244,0.0,0.0,0.17519288970160463,1.4124035551491976
MaxLoss,mnist,1,0.3,0.0,support,5000,0,800,1606,2406,0.507095719978679,0.4034,0.4034,,,,,47.23278618894983,0,797,0.4325,0.0,0.5648929476737976,0.5648929476737976,0.9910508990287781,0.007873280933161775,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16197458520852093,1.4190127073957395
Marginal,mnist,1,0.3,0.0,support,5000,0,800,1576,2376,0.5010708224726841,0.20509999999999995,0.2051,,,,,49.61598393903114,0,797,0.305,0.0,0.5627327561378479,0.5627327561378479,0.9985694885253906,0.005528144112736271,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.1567934587850532,1.4216032706074735
PU-R,mnist,1,0.3,0.0,support,5000,0,800,1537,2337,0.4932328066206537,0.2528,0.2528,,,,,103.10908259905409,0,797,0.34125,0.0,0.5629015564918518,0.5629015564918518,0.9969756007194519,0.007785059625964183,0.9974968710888611,0.9974968710888611,0.9974968710888611,0.0,0.0,0.1652191685833624,1.4173904157083188
GREATS,mnist,1,0.3,0.0,support,5000,0,800,1700,2500,,0.4406,0.4406,,,,,61.40140919294208,0,797,0.4525,0.0,0.5835845470428467,0.5835845470428467,0.9916461110115051,0.007889908231393863,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16139062366015636,1.4193046881699218
